Abdullah Gul	Abdullah Gül
Big Huge Games	Big Huge Games
Maryborn	Marylebone
Suzuka	Suzuka Mie
Aleksey Nikolaevich Romanov	Alexei Nikolaevich Tsarevich of Russia
William Randolph Steele	William Randolph Steele
Ali Sastro Amizyoyo	Ali Sastroamidjojo
Zhang Junning	Janine Chang
Louis Mountbatten Earl of Mountbatten 1st Burmese	Louis Mountbatten 1st Earl Mountbatten of Burma
Peng Huainan	Perng Fainan
South America Libertadores Cup	Copa Libertadores
AJAX	AJax
New Caledonia	New Caledonia
My Generation Understand	My Generation Understand
Vasily Berezutsky	Vasili Berezutski
nigeria	Nigeria
Seth Harris	Seth Harris
National Great Hural	State Great Khural
Chen Jianzhou	Blackie Chen
pop	Pop music
PSV Yan Haofen	PSV Eindhoven
Fukui City	Fukui Fukui
Mochimilin Sports Club	Mogi Mirim Esporte Clube
Wang Qiang	Wang Qiang
Lim Dong Province	Lâm Đồng Province
Jules Bianchi	Jules Bianchi
Maze	Maze
syrian alphabet	Syriac alphabet
2011 Chinese Super League	2011 Chinese Super League
Werner Heisenberg	Werner Heisenberg
Johnny Banglan	Jonny Buckland
Walter Model	Walter Model
Gary Medel	Gary Medel
Prince Leopold	Prince Leopold Duke of Albany
Jenjay Morachevsky	Jędrzej Moraczewski
SNSD	Girls Generation
Got it3F	Got It3F
Cormack MurphyOConnor	Cormac MurphyOConnor
Kamehameha I	Kamehameha I
Robert Bird	Robert Byrd
Shikawa	Shibukawa Gunma
Tongzhi Emperor	Tongzhi Emperor
Wang Xi	Wong He
Paul von Hindenburg	Paul von Hindenburg
Super Avenue of Stars	One Million Star
National Stadium	Beijing National Stadium
City University of Hong Kong	City University of Hong Kong
Maori	Māori people
Charles Lyle	Charles Lyell
Rockstar Toronto	Rockstar Toronto
Wigan Athletic Football Club	Wigan Athletic FC
Gordon Sprigg	Gordon Sprigg
David Thornton	Davide Santon
Scottish Conservative Party	Scottish Conservative Party
Julius Caesar	Julius Caesar
Lotus Software	Lotus Software
President of South Africa	President of South Africa
Matthew Debig	Mathieu Debuchy
Astana Arena	Astana Arena
Billy Hughes	Billie Hughes
SaxonyAnhalt	SaxonyAnhalt
Gyeongsang dialect	Gyeongsang dialect
Tsai Ingwen	Tsai Ingwen
Klin Powell	Colin Powell
Slobodan Rajkovic	Slobodan Rajković
Dallas Mavericks	Dallas Mavericks
Agents of SHIELD	Agents of SHIELD
Karakoram	Karakoram
Poznan Lake Football Club	Lech Poznań
Oliver Bozanich	Oliver Bozanic
Douglas DC2	Douglas DC2
Xia Yu	Ha Yu
Taichung City	Taichung
Luo Yingxue	Luo Yingshay
Amir Sharifuddin	Amir Sjarifuddin
Ma Yun Madibi	Marvin Matip
Monaco Grand Prix	Monaco Grand Prix
Jansa Gowewani	Kriengsak Kovitvanit
Battle of Berlin	Battle of Berlin
Big Black General	Masashi Oguro
Anderson Varejao	Anderson Varejão
Tom Udall	Tom Udall
Auburn University	Auburn University
ouben	Auburn Alabama
Mazda Cosmo	Mazda Cosmo
crack	Hiatus
Paul III	Pope Paul III
Carrie Lam	Carrie Lam
Los Angeles County	Los Angeles County California
british columbia	British Columbia
Weekly Shonen Magazine	Weekly Shōnen Magazine
Semyon Konstantinovich Timoshenko	Semyon Timoshenko
blank	Tabula Rasa
Sophiane Figuly	Sofiane Feghouli
Zhu Xiaotian	Ken Chu
BMW 1Series	BMW 1 Series
Tadeusz Mazowiecki	Tadeusz Mazowiecki
Graham Alexander	Graham Alexander
Zaragoza	Zaragoza
Ramzan Kadyrov	Ramzan Kadyrov
Kyoto Station	Kyōto Station
Palestine Mandate	Mandatory Palestine
Army Distinguished Service Medal	Distinguished Service Medal
Lev Borisovich Kamenev	Lev Kamenev
Saul Campbell	Sol Campbell
Cambyses II	Cambyses II
Atsuko Maeda	Atsuko Maeda
Toncay Sanli	Tuncay Şanlı
Novak Djokovic	Novak Djokovic
Avitch	Avicii
Lin Zixiang	George Lam
Vasily Vasilyevich Kuznetsov	Vasili Kuznetsov
Transcaucasian Socialist Federal Soviet Republic	Transcaucasian Socialist Federative Soviet Republic
Two and a half heroes	Two and a Half Men
Hidero Hashimoto	Hideo Hashimoto
Oscar Luigi Scalfaro	Oscar Luigi Scalfaro
Vladimir Vladimirovich Putin	Vladimir Putin
Patrick McLoughlin	Patrick McLoughlin
Kevin Kuranyi	Kevin Kurányi
2008 Tropical Storm Arthur	Tropical Storm Arthur
Newcastle United Football Club	Newcastle United FC
Chineburg	ChêneBourg
South Sudan	South Sudan
Neposha Malian High	Nebojša Marinković
Diago Corran	Diego Forlán
Greater Community	Dashe District
Zheng Shaoqiu	Adam Cheng
Yang Gongru	Kristy Yang
Potomac River	Potomac River
Abe Akie	Akie Abe
Dave Mustaine	Dave Mustaine
Norman Mineta	Norman Mineta
Sukhbaatar Yanjima	Sükhbaataryn Yanjmaa
Jonathan Morse	Jonathan Moss
BrandenburgPrussia	BrandenburgPrussia
FBI Director	Director of the Federal Bureau of Investigation
Oliver Walcott Jr	Oliver Wolcott Jr
Aaron Ramsay	Aaron Ramsey
Camellia	Camellia
Little Dragon Girl	Xiaolongnü
Sekydianus	Sogdianus of Persia
bangalore	Bangalore
BEAST	Beast
SaintYiden Sports Club	AS SaintÉtienne
Charles Lieber	Charles M Lieber
University of Michigan	University of Michigan
Can We Go Back	Can We Go Back
Ishikawa Naohiro	Naohiro Ishikawa
Fearless Records	Fearless Records
AndersFrisk	Anders Frisk
Xinyibao Records	Cinepoly Records
Sikkim	Sikkimese language
Cesc Fabigas	Cesc Fàbregas
bogu	Bo Gu
Angel Di Maria	Ángel Di María
Azores	Azores
The Prime Minister of the Republic of Korea	Prime Minister of South Korea
199697 Euro 1997 Champions Cup	199697 UEFA Cup Winners Cup
Songchai Wangshawar	Somchai Wongsawat
Toyota Yangping	Yohei Toyoda
Eurostar	Eurostar
Rune Alphabet	Runes
Heinrich Himmler	Heinrich Himmler
SouthPyrenees	MidiPyrénées
Wangchuck Dynasty	House of Wangchuck
Mikhail Yefimovich Fradkov	Mikhail Fradkov
Wishing On The Same Star	Wishing on the Same Star
Limbu	Limbu language
Navarra	Navarre
Chen Yi	Chen Yi
Jackie Chan	Jackie Chan
Everyone is happy	Virtues of Harmony
Pope Leo III	Pope Leo III
MTV Video Music Awards	MTV Video Music Award
vidis	Vitesse Arnhem
AmericanJewish	American Jews
Christian Vieri	Christian Vieri
Simply Wonderful	Simply Wonderful
Goo Jaechul	Koo Jacheol
Pete Utaka	Peter Utaka
Queen Zhenchun	Queen Jeongsun
Prague University of Economics	University of Economics Prague
Zeng Peiyan	Zeng Peiyan
Joachim Murat	Joachim Murat
Rod Blagojevich	Rod Blagojevich
Shameless	Shameless
Mengxian Li	Ed Lee
Cayo Lara	Cayo Lara
Adu Ghani	Abdul Ghani Ahmad
Hong Kong Federation of Trade Unions	Hong Kong Federation of Trade Unions
Tainan	Tainan
Dara	Daraa Governorate
Celtic Football Club	Celtic FC
Haruhi Suzumiya series	Haruhi Suzumiya
Justice League Dark	Justice League Dark
Bengali	Bengali language
Khadgar Prasad Oli	Khadga Prasad Sharma Oli
Zhang Wuchang	Steven N S Cheung
Zheng Zhenyun	Jeong Jinwoon
Peoples Republic of Bulgaria	Peoples Republic of Bulgaria
Julian Draxler	Julian Draxler
Zulfikar Ali Bhutto	Zulfikar Ali Bhutto
esiha	Écija
Mimi CLUB	Kome Kome Club
National Assembly	National Council
Tao I	Senakhtenre Ahmose
Andrzej Duda	Andrzej Duda
Richard Blumenthal	Richard Blumenthal
Ryan Lynn	Lene Lai
Iduyadu Dashua	Eduardo da Silva
Cebu Province	Cebu
Hishammuddin Hussin	Hishammuddin Hussein
Yushu Tibetan Autonomous Prefecture	Yushu Tibetan Autonomous Prefecture
Nie Zhulong	Nhiek Tioulong
Chester Alan Arthur	Chester A Arthur
Dongchengwei	Dong Cheng Wei
John Simon 1st Viscount Simon	John Simon 1st Viscount Simon
Altai Republic	Altai Republic
The University of Hong Kong	University of Hong Kong
Nivkh	Nivkh people
Cantonese	Yue Chinese
Russian Army	Russian Ground Forces
Spring Offensive 1975	1975 Spring Offensive
Qin Hailu	Qin Hailu
Yasuhiro Nakasone	Yasuhiro Nakasone
Wan Azizah	Wan Azizah Wan Ismail
Little Bulgarian Sports Club	Boca Juniors
SHINee	Shinee
Georg	Georg Prince of SaxeMeiningen
F ♯	F Sharp
New England Revolution	New England Revolution
Tokugawa Yoshimune	Tokugawa Yoshimune
Mayor of New Taipei City	Mayor of New Taipei
Park Han Sung	Park Hanbyul
William Paley	William S Paley
Taiwan Railway Administration	Taiwan Railways Administration
BMW F30	BMW 3 Series
Hus Hiddink	Guus Hiddink
Dong Xuesheng	Dong Xuesheng
Western Yugur	Western Yugur language
Arthur Charles Clark	Arthur C Clarke
Dasin Chinawa	Thaksin Shinawatra
Richard Garcia	Richard Garcia
Niigata Swan	Albirex Niigata
George Macartney 1st Earl of Macartney	George Macartney 1st Earl Macartney
Kingdom of Sardinia	Kingdom of Sardinia
Magdalen College University of Oxford	Magdalen College Oxford
FUNKY TOWN	Funky Town
Patrice McMahon	Patrice de MacMahon Duke of Magenta
Chris Cornell	Chris Cornell
Gail Halder	Geir Haarde
Kikuyu	Kikuyu people
Kuwait Athletic Club	Kuwait SC
National Football Club	Club Nacional de Football
Wisla Krakow Football Club	Wisła Kraków
Taliban	Taliban
Nvidia Shield	Shield Portable
Pratt  Whitney PW4000	Pratt  Whitney PW4000
Pope Iqi	Pope Hyginus
Cantonese	Cantonese
Heart Storm	Heart of Greed
The Emperor of India	Emperor of India
Ahmed Taufik Pasha	Ahmet Tevfik Pasha
My Ruyi Wolf	Bottled Passion
Kanuri	Kanuri language
andalusia	Andalusia
Americas Next Top Model	Americas Next Top Model
Park Si Yeon	Park Siyeon
Renwu District	Renwu District
James Monroe	James Monroe
Nur Bekri	Nur Bekri
Leo IX	Pope Leo IX
Elite Team	SBV Excelsior
Communist Party of the Soviet Union	Communist Party of the Soviet Union
Steve McQueen	Steve McQueen
Okegawa	Okegawa Saitama
Fate Series	The Fast and the Furious
Kyohisa Shiozaki	Yasuhisa Shiozaki
Axis Powers	Axis powers
Dag Hammarskjöld	Dag Hammarskjöld
Barnett Football Club	Barnet FC
Windows 9x	Windows 9x
Taiwan Public Radio and Television Group	Taiwan Broadcasting System
Greek Football League	Football League
Tanigaki Zhenichi	Sadakazu Tanigaki
Daniel D Tompkins	Daniel D Tompkins
Lucky	Get Lucky
Amuse	Amuse Inc
Kyuhyun	Cho Kyuhyun
Zeng Wenhui	Tseng Wenhui
Prince Kenren Takaengiya	Norihito Prince Takamado
University of Exeter	University of Exeter
Ryuhei Maruyama	Ryuhei Maruyama
Jordan National Football Team	Jordan national football team
gospel music	Gospel music
Joffrey Borgia	Gioffre Borgia
Democritus	Democritus
Hu Ge	Hu Ge
Albania National Football Team	Albania national football team
Brahmaputra	Yarlung Tsangpo River
folk metal	Folk metal
Modern English	Early Modern English
Ultimate Mobilization Order Series	Command  Conquer
Zhang Yesui	Zhang Yesui
Fender Stratocaster	Fender Stratocaster
Joachim Loew	Joachim Löw
Luang Than Long Navasawa	Thawan Thamrongnawasawat
Yomiuri TV	Yomiuri Telecasting Corporation
Christian Ziger	Christian Ziege
OHiggins Sports Club	OHiggins FC
Prince Caspian	Prince Caspian
UK House of Lords	House of Lords
Erd	Odo of France
Cocoa	Cocoa
Qing Gaozong Ji Empress	Ulanara the Step Empress
Toda Kazuyuki	Kazuyuki Toda
Western College	Occidental College
Gera Zoltan	Zoltán Gera
CNN	CNN
Dongfeng Citroen Elysee	Citroën Elysée
BRAVIA	Bravia
Rangto	Genthod
Korsoi Viktor	Viktor Kassai
Yoshihide Suga	Yoshihide Suga
William Tecumseh Sherman	William Tecumseh Sherman
Stade Louis II	Stade Louis II
Danilo Turck	Danilo Türk
Fantastic Horses and Legends	The Horse and His Boy
Colombo	Colombo
Yang Hao	Yang Hao
Park Min Young	Park Minyoung
Journey to the West	Journey to the West
Satellite TV Chinese Channel	Star Chinese Channel
Leading V	Pope Celestine V
Minnesota Timberwolves	Minnesota Timberwolves
greenbrier	Green Rose
Robert Tevers	Robert Trivers
Max Born	Max Born
The Spitfire	Foo Fighters
New Zealand National Party	New Zealand National Party
Walt Disney Studios Movies	Walt Disney Studios Motion Pictures
Dome	PuydeDôme
Alaves Sports	Deportivo Alavés
Shan Liwen	Pal Sinn
China Video Main Frequency	CTS Main Channel
Muktar Ould Dadah	Moktar Ould Daddah
List of Byzantine Emperors	List of Byzantine emperors
Jin Wuxing	Kim Moosung
TriCities	TriCities Washington
Prime Minister of New Zealand	Prime Minister of New Zealand
Zhang Zuming	Jaycee Chan
Free Sham Islamic Movement	Ahrar ashSham
Etruscan Kingdom	Kingdom of Etruria
Nippori Station	Nippori Station
USA TV	USA Network
Yi branch	Loloish languages
Maatya Kežman	Mateja Kežman
Emirates Stadium	Emirates Stadium
Nam Tae Hee	Nam Taehee
Norodom Norindalana	Norodom Narindrapong
Nancy Reagan	Nancy Reagan
Asian Football Confederation	Asian Football Confederation
Takahashi is Qing	Takahashi Korekiyo
Ann Daniel	Ahn Daniel
Dongguanyi	Wang Guanyi
Zhu Xuan	Océane Zhu
Louise	Princess Louise of Orléans
Love for the Three Worlds	Always and Ever
Kim Campbell	Kim Campbell
Rewrite	Rewrite
qatar	Qatar
Pope Lide	Pope Evaristus
Sister	Apple in Your Eye
Dmitry Anatolyevich Medvedev	Dmitry Medvedev
Governor of Washington	List of Governors of Washington
Robbie Williams	Robbie Williams
Ladder	The Last Steep Ascent
Alexander Anyukov	Aleksandr Anyukov
Pemmeras Athletic Association	Sociedade Esportiva Palmeiras
garage rock	Garage rock
Las Palmas	Las Palmas
Like a star in the night	Like a Star in the Night
Wang Jie	Dave Wong
Portugal	Portugal
Mahatma Gandhi	Mahatma Gandhi
Casey Affleck	Casey Affleck
RedOne	RedOne
Two and a Half Heroes	Two and a Half Men
Komuro Guizi	Keiko
Pablo Sabaleda	Pablo Zabaleta
Turkish Football Association	Turkish Football Federation
San Jose Earthquakes	San Jose Earthquakes
Ray Magus	Rui Marques
Maximian	Maximian
JeanPaul Sartre	JeanPaul Sartre
Armenian	Armenians
HKT48	HKT48
Geng Biao	Geng Biao
OFK Belgrade	OFK Beograd
Dream Pigeon	Meng Ge
Luxembourg	Luxembourg
Spencer Compton 1st Earl of Wilmington	Spencer Compton 1st Earl of Wilmington
Wei Guoqing	Wei Guoqing
Mary	Marie of Romania
Pan Wenkai	Phan Văn Khải
Leopold III	Leopold III of Belgium
Herman Holt	Hermann Hoth
Omiya Station	Ōmiya Station
Venezuela Football League	Venezuelan Primera División
Eamon de Valera	Éamon de Valera
South China Football Team	South China AA
Thomas Schaff	Thomas Schaaf
Firefox OS	Firefox OS
Alexander Grothendieck	Alexander Grothendieck
England Football Association	The Football Association
Robert von Graeme	Robert Ritter von Greim
Gelderland	Gelderland
Housekeeper Mita	Kaseifu no Mita
Hussein bin Talal	Hussein of Jordan
Richard I	Richard I of England
Kei Uemura	Kei Uemura
Bioshock	BioShock
Mouth Organ	Melodica
Tulane University	Tulane University
Nagaland	Nagaland
BUT Proof of Love	But Aishō
Ichinomiya	Ichinomiya Aichi
RollsRoyce RB211	RollsRoyce RB211
Catholic University Athletics Club	Club Deportivo Universidad Católica
Ted Cruz	Ted Cruz
Ghost in the Shell 2 INNOCENCE	Ghost in the Shell 2
Tim BernersLee	Tim BernersLee
Meteor	Nagareboshi
Super popular female devil	The Fame Monster
Felipe Nasr	Felipe Nasr
Magnolia	Magnolia
Jin Zaizhong	Kim Jaejoong
Zhang Fakui	Zhang Fakui
Queen Zeta	Zita of BourbonParma
eat slave	Gilded Chopsticks
gervinho	Gervinho
President of the European Council	President of the European Council
Sebastian Giovinco	Sebastian Giovinco
Alawites	Alawites
Vicente del Bosque	Vicente del Bosque
Bundestag	Federal Assembly
China Central Television	China Central Television
Armen Sarkisian	Armen Sargsyan
lunarillo	Lunalilo
Wladyslaw IV	Władysław IV Vasa
Xia Weilin	William Hague
F22 Raptor	Lockheed Martin F22 Raptor
Huizhou	Huizhou
Bhojpuri	Bhojpuri language
201314 Hong Kong FA Cup	201314 Hong Kong FA Cup
Xi Jinping	Xi Jinping
Dai	Dai people
Ono Tomo	Satoshi Ohno
Persian	Persian language
Indonesian Premier League	Indonesia Super League
Pilsen Victory Football Club	FC Viktoria Plzeň
dallas	Dallas
madrid	Madrid
Yihara Station	Maibara Station
Fred Thompson	Fred Thompson
Mohammed bin Zayed Stadium	Mohammed Bin Zayed Stadium
Zhu Zhaoji	Chu Siu Kei
janice japlin	Janis Joplin
Thiago Mendes	Tiago Mendes
county listing	Gujō
Zhu Chenli	Rebecca Zhu
Wolfsburg Football Club	VfL Wolfsburg
Richard Pohl	Richard Burr
Chen Ziyao	Yoyo Chen
Bayannaoer	Bayannur
Isle of Wight	Isle of Wight
Daisuke Sakata	Daisuke Sakata
Alfredo Cristiani Burcard	Alfredo Cristiani
Tamil	Tamil language
Kim Jong nam	Kim Jongnam
Lawrence Wetherby	Lawrence Wetherby
Hugh Everett III	Hugh Everett III
Wonderboy	Fabolous
Chongqing	Chongqing
General Secretary of the Central Committee of the Communist Party of Vietnam	General Secretary of the Communist Party of Vietnam
Victoria Louise	Princess Victoria Louise of Prussia
Mutter	Mutter
Henry Kissinger	Henry Kissinger
Break It Get Myself Back	Break It Get Myself Back
Phoenix Satellite TV Information Channel	Phoenix InfoNews Channel
Kim Yongnam	Kim Yongnam
Fedora	Fedora
Muar	Muar
Takamoto Hui	Megumi Takamoto
Norman Ramsay	Norman Foster Ramsey Jr
V6	V6
DiVA	Diva
Ayaka Golden Songs Selection 20062009	Ayakas History 20062009
Alice Munro	Alice Munro
Yamase Koji	Koji Yamase
Ming Xuanzong	Xuande Emperor
Higashi Kurume City	Higashikurume Tokyo
Christopher Dugarry	Christophe Dugarry
Edward Witten	Edward Witten
Alistair Carmichael	Alistair Carmichael
grasshopper	Grasshopper
Sanli Metropolitan Station	SET Metro
Yaromir Blazek	Jaromír Blažek
Isido Rabbi	Isidor Isaac Rabi
ULTRA BLUE	Ultra Blue
Yamaguchi Firefly	Hotaru Yamaguchi
The Hebrew University of Jerusalem	Hebrew University of Jerusalem
MDNA	MDNA
Xiyuan Temple Gongwang	Saionji Kinmochi
do thats right	Do Somethin
Traveling	Traveling
Torsten Frings	Torsten Frings
Democratic Peoples Republic of Korea	North Korea
Superboy	NSYNC
Whitesnake	Whitesnake
ava	Inwa
Lee Jung Hyun	Lee Junghyun
List of Afghan monarchs	List of monarchs of Afghanistan
Fort DalyStepheno Domain	Dalibor Stevanović
Aberdeen Football Club	Aberdeen FC
Churlim Tatars	Chulyms
Electromagnetic Team Million Company	Denji Sentai Megaranger
Mozilla Thunderbird	Mozilla Thunderbird
Pedro Rodriguez Redsma	Pedro
Duff McKagan	Duff McKagan
Prince Carl Oscar Duke of Southmanland	Prince Carl Oscar Duke of Södermanland
Utah Administrative Divisions	List of counties in Utah
Guarani Football Club	Guarani FC
City College of New York	City College of New York
Nicklaus Wirth	Niklaus Wirth
Mamadou Shagao	Mamadou Sakho
Zheng Jiaying	Kevin Cheng
Paul Ferrana	Paulo Ferreira
John Milton	John Milton
Sea of the Moon	Luna Sea
Abhisit Wichachiwa	Abhisit Vejjajiva
Firefox	Firefox
Chapter 7 Its so beautiful Im sorry	Dai Nana Shō Utsukushikutte Gomen ne
Lena Watling	Leonor Watling
Leslie Cheung	Leslie Cheung
Shiding District	Shiding District
Argildas Brazoskas	Algirdas Brazauskas
Jiang Ruolin	Elanne Kong
Alonzo Church	Alonzo Church
Prince Sigwald	Sigvard Bernadotte
Amami Oshima	Amami Ōshima
LaurentDesiree Kabila	LaurentDésiré Kabila
William Faulkner	William Faulkner
carlisle	Carlisle Pennsylvania
David Alaba	David Alaba
William Lamb 2nd Viscount Melbourne	William Lamb 2nd Viscount Melbourne
Washington  DC	Washington DC
Maliwi Parliament	Marrickville Council
Cool Lazy Taste	Clazziquai
Xu Xinliang	Hsu Hsinliang
Shenyouji	IQue Player
This Is Love	This Is Love
Nenets	Nenets people
impetuous	Fuzao
Niccolò Machiavelli	Niccolò Machiavelli
Benevolence III	Healing Hands III
Kenji Ogiya	Kenji Ogiya
Martin Berdoff	Martin Petrov
Mitt Romney	Mitt Romney
Princess Maria Antonia	Princess Marie Antoinette of Schwarzburg
Toronto	Toronto
Friends	Friends
Star Wars Story	Rogue One
Li Haiquan	Lee Hoichuen
Hubert Humphrey	Hubert Humphrey
1st Division	1st Division
IPad	IPad
ARASHIC	Arashic
ObjectiveC	ObjectiveC
Dario Simic	Dario Šimić
Duangu Mijan ZainerAbidin	Mizan Zainal Abidin of Terengganu
Nirvana	Nirvana
Hassan Sarkar	Hasan Saka
University of Sheffield	University of Sheffield
Phoenician Alphabet	Phoenician alphabet
TMG	Tak Matsumoto Group
Vegatech Sendai	Vegalta Sendai
Sima Yi	Sima Yi
007 Battle Royale	Casino Royale
hamamatsu	Hamamatsu
William Bentinck 4th Duke of Portland	William Bentinck 4th Duke of Portland
County Wicklow	County Wicklow
Chuck Hagel	Chuck Hagel
Chilian Dempsey	Clint Dempsey
Xincai County	Xincai County
Gu Ling Jing Detective B	DIE Again
Liang Lifang	Tiffany Leong
harrisburg	Harrisburg Pennsylvania
Mitsubishi Fuso Canter	Mitsubishi Fuso Canter
Ohannes Sports Club	SC Olhanense
Huang Yanyan	Ng Yen Yen
northern ireland	Northern Ireland
Elkerson	Elkeson
Zhu Yuanzhang	Hongwu Emperor
Ganges	Ganges
Islamic Army	Jaysh alIslam
Yukon	Yukon
Hua Guofeng	Hua Guofeng
West Bromwich Albion Football Club	West Bromwich Albion FC
Avex trax	Avex Trax
Santali	Santali language
Wei Junan	John Reid Baron Reid of Cardowan
Gustav Heinemann	Gustav Heinemann
United States Supreme Court	Supreme Court of the United States
Bellisario Betancur Quartas	Belisario Betancur
Kassimjomart Tokayev	KassymJomart Tokayev
Titan 4 launch vehicle	Titan IV
University of Maryland College City	University of Maryland College Park
Echacella Sports and Culture Club	Al Jazira Club
Patty Murray	Patty Murray
Li Yunzhi	Lee Yoonji
Batman	Batman
John Barrio	John Balliol
Danslan Bilge Dawgsson	Dansranbilegiin Dogsom
Sima Zhao	Sima Zhao
LØVE Love Endless	Love
Musashino City	Musashino Tokyo
Italian	Italian language
Hugo de Pain	Hugues de Payens
Together When	Together When
Patrick Mueller	Patrick Müller
Sami	Sami people
Su30 Fighter	Sukhoi Su30
NintendoDSi	Nintendo DSi
Li Yingyuan	Lee Yingyuan
New Media Pte Ltd	Mediacorp
CrossBay Tunnel	Transbay Tube
Chinese Football Association Super League	Chinese Super League
Elbe	Elbe
William Astbury	William Astbury
Fenghua	Fenghua
EXID	EXID
DATE City	Date Fukushima
Kuroda Nagamasa	Kuroda Nagamasa
Pope Sistus II	Pope Sixtus II
Haji Pasha	Hacı Pasha
Gene Macun	Jean Makoun
full of wealth	Ariamaru Tomi
Carangtowell Hill	Carrauntoohil
Los Alamos	Los Alamos New Mexico
Love so sweet	Love So Sweet
Hussein Fahri Khalidi	Husayn alKhalidi
Phu Thou Province	Phú Thọ Province
Democratic Congress Party	Democratic Rally
Robert I	Robert I of France
Alex OxladeChamberlain	Alex OxladeChamberlain
Princess Iman Bint Hussein	Princess Iman bint Hussein
Okayama International Circuit	Okayama International Circuit
belize city	Belize City
Philippe Petain	Philippe Pétain
Xinyi Line	Xinyi Line
Law Kelly	R Kelly
Zhang Xueliang	Zhang Xueliang
Seya Ward	Seyaku Yokohama
Dmitri Fyodorovich Ustinov	Dmitriy Ustinov
Love neighbor distance	Love or Spend
Arkansas River	Arkansas River
SheHulk	SheHulk
Nokia Lumia 800	Nokia Lumia 800
Procopius Pavlopoulos	Prokopis Pavlopoulos
miami	Miami
Jiang Yihua	Jiang Yihuah
Growing of my heart	Growing of My Heart
Harrow Shapley	Harlow Shapley
Bourbons	House of Bourbon
Zhang Meng	Zhang Meng
University of Paris VII	Paris Diderot University
SinoJapanese War	First SinoJapanese War
Scottish Football Association	Scottish Football Association
Chinese Basketball Association	Chinese Basketball Association
Uji City	Uji Kyoto
Super JuniorKRY	Super JuniorKRY
Non Chea	Nuon Chea
soft and hard Tianshi	Softhard
Artur SethInquart	Arthur SeyssInquart
Stephanie	Stephanie
David Trezeguet	David Trezeguet
Marco Divoyo	Marco Di Vaio
William I	William the Silent
Zhou Libo	Zhou Libo
Erwin Schrödinger	Erwin Schrödinger
Francisco de Paula Rodriguez Alves	Francisco de Paula Rodrigues Alves
Wen Yali	Alexandra Countess of Frederiksborg
Wu Zhuoxi	Ron Ng
Valtari	Valtari
Julian Schwinger	Julian Schwinger
Order of St Michael and St George	Order of St Michael and St George
STS46	STS46
Linnie Strong Sports Club	Lillestrøm SK
Tsai Chin	Tsai Chin
Japan Baseball Organization	Nippon Professional Baseball
Virginity	Virginity
Green Township	Green Township Adams County Ohio
love	Shinai
Theodor Hensch	Theodor W Hänsch
Peter Griffin	Peter Griffin
Leopold	Leopold Prince of Hohenzollern
Ministry of Health and Welfare of the Republic of China	Ministry of Health and Welfare
Besiktas Gymnastics Club	Beşiktaş JK
Sen Hokies	Sam Vokes
Kimi Raikkonen	Kimi Räikkönen
Denmark	Denmark
Belarus	Belarus
John Boehner	John Boehner
Angola Air Force	National Air Force of Angola
Chen Hao	Moses Chan
Boys Meet U	Boys Meet U
Uli Hoeness	Uli Hoeneß
Weblin	Pontus Wernbloom
Arthur Kornberg	Arthur Kornberg
Franz I	Francis I Holy Roman Emperor
GLib	GLib
Hong Kong First Division Football League	Hong Kong First Division League
Masuda Oath	Chikashi Masuda
Microsoft Lumia	Microsoft Lumia
Chen Yongkang	Chen Yeongkang
Android Pay	Android Pay
Isa City Government	City of Mount Isa
Tiger Fish Group	Team Syachihoko
Lu Wei	Lu Wei
Annie	Anne Queen of Great Britain
David Lloyd George	David Lloyd George
Johannes Blaskowitz	Johannes Blaskowitz
Misael Pastrana Borrero	Misael Pastrana Borrero
Here Comes the Sun	Here Comes the Sun
Truman Capote	Truman Capote
New Zealand Labour Party	New Zealand Labour Party
James Beatty	James Beattie
Joseph Estrada	Joseph Estrada
Li Mingguo	Ri Myongguk
William IV	William IV Prince of Orange
Radoslav Kovacs	Radoslav Kováč
Jesper Christiansen	Jesper Christiansen
Destiny Tour	Destiny World Tour
White River	White River
Robert Pires	Robert Pirès
Malay Islands	Malay Archipelago
Medieval Japanese	Late Middle Japanese
Jurgen Kramney	Jürgen Kramny
Gao Xiaosong	Gao Xiaosong
Alan Martin	Alan Martin
Life and death series	Dead or Alive
Su Rong	Su Rong
Lighting Entertainment	Illumination Entertainment
Rochdale Football Club	Rochdale AFC
Cao Yu	Cao Yu
Jossi Benayoun	Yossi Benayoun
Yuan Jing	Hara Takashi
Hagi	Hagi Yamaguchi
Crissium Athletic Club	Criciúma Esporte Clube
PlayStation Portable	PlayStation Portable
Ninfu Squadron Breaker	Ninpuu Sentai Hurricaneger
Old Lisu	Fraser alphabet
Gold Coast United Football Club	Gold Coast United FC
Francisco Flores	Francisco Flores Pérez
MrChildren	Mr Children
Royal Zaragoza	Real Zaragoza
Grannette Zhaka	Granit Xhaka
Burhandin Harrahap	Burhanuddin Harahap
GREEN	Green
Slough	Slough
Democratic Party of Slovenia	Slovenian Democratic Party
Wen Lan	Landy Wen
Giuseppe Favalli	Giuseppe Favalli
Belgian Football Association	Royal Belgian Football Association
Ainu	Ainu people
James Abram Garfield	James A Garfield
Guangzhou Baiyun International Airport	Guangzhou Baiyun International Airport
John Heitinga	John Heitinga
Shizuoka Prefecture	Shizuoka Prefecture
North Korea Football League	DPR Korea League
Kuwana City	Kuwana Mie
Not yet	Not Yet
