BBC Radio 1	Bradford,HTC One V,Ruhrstadion,HTC First,DC Comics,FC Goa,Belgrade,Bob Carr,Bulgaria,Croatia,Pep Guardiola,Tomb Raider,Cao Cao,AS Roma,Brazil,FC Basel,FC Seoul,Air Canada,Maxis,Voyager 2,AC Omonia,ND Gorica,New Horizons,Belfast,So Girls,Xiaomi,Ich will,AS Nancy,The Hague,GDragon,Celeron,Ranger 2,Corsier,Bird,Belize,Clang,Nampo,Jay album,FC Metz,Nintendo DS,Ranger 6,Sendai,Busan,Budapest,Nevada,Bob Corker,Emilia Fox,Botswana,Monaco,BBC One
Michael Marrone football player	Mali national football team,Finland national football team,Roberto Carlos footballer,Wales national football team,Sweden national football team,Morocco national football team,Serbia national football team,Lima footballer,Michael Bloomberg,Czech Republic national football team,Michael Bay,City Football Group,Marriner Stoddard Eccles,France womens national football team,Michael Sheen,Maria GoeppertMayer,Adobe Flash Player,Vincenzo Montella,Melbourne City FC,Vålerenga Fotball,Marcel Desailly,Malcolm Fraser,Emirate of Jabal Shammar,Music Madonna album,Tocharian languages,Occupation of Japan,The Bourne Ultimatum,Liberal Party Philippines,Wang Liang footballer born 1989,Brendon Šantalab,Villarreal CF,John Eaton politician,Mikaël Silvestre,Madonna entertainer,Nacho Monreal,Bernard Mandeville,Klaus Augenthaler,Ricardo Carvalho,Rose Bowl Game,Herbert Blumer,Royal Dutch Football Association,Merrimack River,Brian Mulroney,Montgomery Blair,Belgian Pro League,Herman Van Rompuy,Marion Raven,Wuhan Zall FC,Hong Kong Football Association,Michael Marrone footballer
Force Superfly album	One Arashi album,Swiss Super League,Jay album,Music Madonna album,Indian Super League,Dejavu Kumi Koda album,Sorry Sorry,North Sea,Rose Bowl stadium,Worcester City FC,Montgomery Blair,Fabio Capello,Armen Sargsyan,Worcestershire,John Sherman,Pope Stephen I,North Carolina,Love So Sweet,The Siren song,Body Feels Exit,Together When,Rose Bowl Game,Toumba Stadium,The Bourne Ultimatum,Fábio Aurélio,Tianhe Stadium,Gordon Sprigg,House of Vasa,Jeremy Bentham,Klaus Augenthaler,Herbert Blumer,Notre Dame de Paris,Sergey Shoygu,Manuel Valls,Daraa Governorate,Samuel Alito,AC Sparta Prague,Mong Kok Stadium,Ezequiel Garay,Jack Kerouac,Coquitlam,John B Weller,County Durham,Marcel Desailly,George Grenville,Pope Leo IX,Montesquieu,Gerald Guralnik,Pope Sixtus V,Force Superfly album
Duncan Edward Odgerton	Edward Livingston,Gustav Ludwig Hertz,Dutch East Indies,Tom Hiddleston,Conan OBrien,Banastre Tarleton,David Stern,Santander Spain,Kushan Empire,Lockheed P3 Orion,Ricardo Ezzati Andrello,Stefan Effenberg,Sandra Day OConnor,Andi Herzog,Alexandre Millerand,Ronan Keating,Aleksandr Kokorin,Leandro Guaita,Roman Sharonov,Donnie Yen,Brown Eyed Girls,Armen Sargsyan,Dischord Records,Leeuwarden,Queen Noor of Jordan,Anwar Sadat,Yuan Shanshan,Indiana Pacers,Hungarian forint,Star Awards 2001,Seven Years War,Wuhan Zall FC,London Underground,Syrian Armed Forces,Suwa Nagano,Huangchuan County,Bosnian language,Indian Super League,JeanPaul Sartre,John Bercow,Todor Burmov,Kurt Alder,Alan Sheehan,Henri Brisson,Sean Connery,John Curtin,Hans Geiger,Lakhdar Brahimi,Carl Valeri,Duncan Oughton
Wang Liang born in 1989	Hungarian forint,Wang Dongxing,Tang Shaoyi,Chen Jianbin,Qingdao Jonoon FC,Li Keqiang Government,Kara South Korean band,William Golding,Huangchuan County,Like a Virgin song,Angelo Ogbonna,Tin Aung Myint Oo,Warsaw Uprising,San Antonio Spurs,Shandong Airlines,Aung San Suu Kyi,Belgian Pro League,Lansing Michigan,Wang Zhen,Lu Zhangong,Deng Yingchao,Zhang Wentian,Xu Xiangqian,Park Jungmin,Qinghai Senke FC,William Windom,Hakan Yakin,Takashi Sorimachi,Mana Iwabuchi,Dai Jiaoqian,Angelino Alfano,Kuniaki Koiso,John Langdon politician,Wind song,Ronan Keating,Conan OBrien,Haha entertainer,Saint Paul Minnesota,Santander Spain,Sean Connery,Benjamin Bristow,Ingrid Bergman,Lucrezia Borgia,Gilan Province,OS X Mountain Lion,Bulgarian language,Dont Wanna Cry,Salt Lake City,Penguin Books,Wang Liang footballer born 1989
Monaco Athletic Association Football Club	Morocco national football team,Czech Republic national football team,Wales national football team,Mali national football team,Finland national football team,France womens national football team,Serbia national football team,Sweden national football team,Michael Marrone footballer,France national under21 football team,Swiss Football Association,Chinese Football Association,Roberto Carlos footballer,Hong Kong Football Association,Athletic Bilbao,City Football Group,Royal Dutch Football Association,Roman Catholic Archdiocese of Bangkok,United States mens national soccer team,Vålerenga Fotball,Hong Kong Third A Division League,Sony Pictures Animation,Monthly Comic Alive,Lao Peoples Revolutionary Party,Dream Girl  The Misconceptions of You,Carlos Adriano de Sousa Cruz,Bon Voyage Kumi Koda album,Sony Ericsson Xperia arc S,Lima footballer,Worcester City FC,Southend United FC,Southampton FC,Jeonbuk Hyundai Motors FC,Guangzhou Evergrande Taobao FC,Dejavu Kumi Koda album,Music Madonna album,Windows Photo Gallery,Kara South Korean band,Hong Kong Third Division League,2014 Chinese FA Cup,Reinaldo Elias da Costa,Japanese National Railways,Occupation of Japan,National Revolutionary Army,Royal Australian Air Force,Municipality of Strathfield,Gonchigiin Bumtsend,Manco Inca Yupanqui,Donald III of Scotland,AS Monaco FC
Kawasakiku	Kashiwa,Bashkirs,Kaká,Maebashi,Takasaki Gunma,Odawara,Katowice,Hakan Yakin,Sakhalin,Karakoram,Madagascar,Jahangir,Hitachi,Yugawara,Naha,Setagaya,Yanan,Suwa Nagano,Sendai,Ordos City,Tajimi Gifu,Leessang,Busan,Sammir,Xiaomi,Maxis,Gujarat,Camellia,Yang Xu,Corsier,Chavacano,Palencia,Croatia,KisMyFt2,Astana,Marc Janko,Nevada,Jay album,Gary Locke,Valencian,Pakistan,Ruhrstadion,Mestizo,Bulgaria,Gary Cahill,Mauritius,Luís Figo,Guangxi,Punjabis,Kawasakiku Kawasaki
Vladimir Kirillovich	Mari Kiviniemi,Todor Burmov,Tim Krul,Fabio Capello,Blerim Džemaili,Jack Kerouac,Peter Crouch,Benjamin Bristow,Zara Phillips,Benjamin Disraeli,Altai Republic,Gilan Province,Dai Jiaoqian,Tajimi Gifu,Stadium Australia,Aleksandr Kokorin,Waldemar Pawlak,Henri Brisson,Alexandre Millerand,Radoslav Kováč,Lakhdar Brahimi,Luigi Einaudi,Adam Smith,Savo Milošević,Takashi Sorimachi,Fahri Korutürk,Édith Cresson,Kuniaki Koiso,Andi Herzog,Patrick Kisnorbo,Slobodan Rajković,Padmé Amidala,Fábio Aurélio,Giorgio Chiellini,Camellia,Gary Cahill,Giannis Maniatis,Haruna Kojima,Jimmy Bullard,PFC Litex Lovech,Elvis Presley,Scuderia Ferrari,Cathay Pacific,Brandeis University,RCD Mallorca,Brian Wilson,Flora Finch,Xiaomi Mi 2,Warsaw Uprising,Grand Duke Vladimir Kirillovich of Russia
Li Keqiang	Liu Jian,Leessang,Liu Yuzhang,Jining,Rainie Yang,Li Ruihuan,Lu Zhangong,Lin Fengjiao,Luo Gan,Wilber Pan,Lu Xun,Qin Sheng,Wind song,Dai Jiaoqian,Ledley King,Clang,Cinemax,Armenia,St Albans,Valencian,AS Roma,Pyongyang,Gelderland,Berlin,FC Seoul,Guo Jinlong,Yanan,Yan Xishan,Ched Evans,Lee Seunggi,Xu Xiangqian,Hebei,Chicken,Yunnan,AlQaeda,Pauleta,Kaká,Hitachi,Xiaomi,Zhongshan,Carl Levin,Kim Heechul,Andi Herzog,Ronan Keating,So Girls,Luís Figo,Bill Nelson,AS Nancy,Sendai,Li Keqiang
SaintMartin	Sakhalin,John Curtin,Seth Harris,Yanan,Hitachi,Sendai,Hakan Yakin,Pakistan,Iron Man,Qantas,Dai Jiaoqian,Shanghai,Saint Barthélemy,Fabien Barthez,Marion Raven,Sammir,Tigris,Setagaya,Pope Mark,Jining,Cameroon,Leeuwarden,Maebashi,Valencian,Dave Mustaine,Split Croatia,McLaren,Haarlem,Croatia,Yunnan,Jahangir,Naif Hazazi,Bulgaria,Carl Levin,Soft rock,Rainie Yang,Cinemax,KisMyFt2,Punjabis,Xiaomi,SimCity,Maxis,Socrates,Star Wars,Ranger 2,Wang Zhen,Ranger 6,Yan Xishan,Chen Jianbin,Collectivity of Saint Martin
2012 Summer Olympics Mens 400m Freestyle	2014 AFC Champions League,The Republicans France,2011 FA Community Shield,201314 Premier League,GeForce 400 series,Spitzer Space Telescope,Solar Dynamics Observatory,2014 AFC Presidents Cup,Distinguished Service Medal US Army,GeForce 700 series,List of parishes in Louisiana,Khmer Empire,Sony Pictures Animation,Royal Australian Air Force,Buffy the Vampire Slayer season 4,University of Texas at Austin,Gakuen Utopia Manabi Straight,Prime Minister of Yemen,2014 Chinese FA Cup,201213 UEFA Europa League,The Flash 2014 TV series,Haswell microarchitecture,Forensic Heroes,201415 UEFA Europa League,Armen Sargsyan,Los Angeles Clippers,VictorFrançois 2nd duc de Broglie,The Chronicles of Narnia,List of counties in Arizona,Perfume Japanese band,The Magicians Nephew,Force Superfly album,Belgian Pro League,Bernard Mandeville,Notre Dame de Paris,Benjamin Bristow,Syrian Armed Forces,Ho Chi Minh City,Republic of Korea Navy,Adiel de Oliveira Amorim,San Jose State University,Angels Fall First,Sichuan University,Shimane Prefecture,Herman Van Rompuy,Leiden University,Benjamin Disraeli,University of Notre Dame,Universal Parks  Resorts,Swimming at the 2012 Summer Olympics  Mens 400 metre freestyle
Communist Party of Cuba	Nationalist Party Malta,University of Jena,Labour Party Hong Kong,Democratic Party Mongolia,Left Party Sweden,University of Turin,House of Vasa,University of Zurich,University of Alabama,Cosmin Contra,Chinese FA Cup,Carlos Duke of Parma,County Monaghan,Dont Wanna Cry,County Durham,Party of Regions,Occupation of Japan,Prime Minister of Yemen,Central Academy of Drama,Belgian Pro League,Jimmy Carter,Romansh language,Split Croatia,Copa Libertadores,Coquitlam,China Railways CRH3,Saint Barthélemy,Connecticut River,North Carolina,John Paul Stevens,Roman Sharonov,Tochigi Prefecture,Northwest Territories,Herman Van Rompuy,Eurico Gaspar Dutra,Cristiano Zanetti,Chris Brown,Carlos Santana,Fukui Prefecture,Ezequiel Garay,Worcester City FC,Shimane Prefecture,Kazuhiko Chiba,Carson California,Lost season 3,Ichihara Chiba,Republic of Crimea,Republic of Genoa,Chancellor of Germany,Communist Party of Cuba
University of Freiburg	University of Zurich,University of Jena,University of Florence,University of Turin,University of Alabama,University of Liverpool,University of Portland,University of Notre Dame,University of Mississippi,University of Saskatchewan,University of Economics Prague,State University of New York,Universal Orlando,University of Texas at Austin,Party of Regions,Stefan Effenberg,Republic of Crimea,Shire of Winton,Scuderia Ferrari,Ander Herrera,Robert Trivers,Albert II of Belgium,Rise of Nations,Universal Parks  Resorts,Republic of Genoa,Rivers Cuomo,Hungarian forint,Merrimack River,Pedro I of Brazil,Kingdom of Sicily,Giordano Bruno,United Left Spain,Angels Fall First,Exeter City FC,Evergreen Group,West Virginia,Warsaw Uprising,Herbert Blumer,Umberto II of Italy,Tigrinya language,Bert T Combs,Andrew Yeom Soojung,Chinese FA Cup,Levi Woodbury,Inha University,Chancellor of Germany,Order of Australia,City of Canada Bay,Municipality of Strathfield,University of Freiburg
Haha	Naha,Kaká,Yanan,H EP,Goa,Nampo,Bird,Kashiwa,EXID,AWK,Hitachi,Busan,ABBA,VIXX,Clang,Hebei,Delhi,Metz,Astana,Lyon,TVBS,Maxis,Nevada,NTV7,Ovid,IOS,Qantas,GNU,Paris,AlQaeda,Inuyasha,Pauleta,Odawara,Sammir,Sakhalin,Sendai,Zenica,SS501,Jahangir,Gujarat,Xiaomi,Suzhou,Croatia,MeeGo,Haarlem,Yunnan,WatchOS,Yemen,SDN48,Haha entertainer
Yuto Ikeda	Tuo Zhen,Yugawara,AlQaeda,Luo Gan,Yokohama,North Sea,Katowice,Yūko Obuchi,Yōko Kamikawa,Setagaya,Matěj Vydra,Mao Fumei,Yang Xu,Victor Ponta,Yan Xishan,Hu Jintao,Kurt Alder,Tong Liya,Luís Figo,TRAX band,Qin Sheng,Wang Zhen,Miloš Zeman,Lu Xun,Pauleta,HTC One V,Oppa Oppa,Corsier,Clojure,Katy Perry,Astana,Cao Cao,FC Goa,So Girls,Chicken,Red Skull,Budapest,West Java,Yao people,Bulgaria,Yunnan,Brooklyn,Over Load,Quito,BBC One,Air Canada,FC Metz,Croatia,Nevada,Hayato Ikeda
Biljilio Barco Vargas	Belgian Pro League,Haj Ali Razmara,William Chan,Georgios Samaras,Agatha Barbara,Atlantic Records,Qiangic languages,Split Croatia,Colorado Rapids,Tibetic languages,Celtic languages,Nilo Peçanha,Pietro Badoglio,Beji Caid Essebsi,Lucrezia Borgia,Benjamin Bristow,Giordano Bruno,Waldemar Pawlak,Émile Borel,Ricardo Carvalho,Bill Nelson,William Windom,Giannis Maniatis,Niels Bohr,UD Las Palmas,William Des Vœux,Virgin Records,Tigrinya language,William Golding,Little Rock Arkansas,Dischord Records,Michael Bloomberg,Kim Jiwon actress,Indiana Pacers,Bosnian language,Yashio Saitama,Electronic Arts,Bulgarian language,Nationalist Party Malta,Star Wars,Ezequiel Garay,Eurico Gaspar Dutra,Luis Guillermo Solís,Brendon Šantalab,Alfredo Cristiani,Manuel Valls,Pedro Pires,Fabien Barthez,Blerim Džemaili,Virgilio Barco Vargas
San Jose State University	Nankai University,Stanford University,Brandeis University,Sichuan University,Tulane University,Northeastern University,Inha University,Cornell University,Clark University,Wuhan University,Leiden University,Brown University,Auburn University,National Cheng Kung University,California State Senate,Salt Lake City,Robert Trivers,Angels Fall First,Saint Paul Minnesota,John Paul Stevens,Sean Connery,The Pretenders,Windows Photo Gallery,Hans Geiger,GNU Core Utilities,Palm Desert California,Carson California,San Antonio Spurs,Ho Chi Minh City,Sony Pictures Animation,Red Hot Chili Peppers,Santander Spain,Banastre Tarleton,Notre Dame de Paris,Southend United FC,Mayor of New Taipei,An Lushan Rebellion,Connecticut River,SC Heerenveen,Lafayette Louisiana,Shandong Airlines,Kingdom of Sicily,Carlos Santana,Spitzer Space Telescope,Battle Fever J,Mong Kok Stadium,Tianhe Stadium,Nanako Matsushima,Dianne Feinstein,San Jose State University
Prime Minister of Yemen	Prime Minister of Slovenia,First Minister of Scotland,Prince Nikolai of Denmark,University of Turin,University of Jena,Queen Noor of Jordan,Republic of Crimea,Miloš Zeman,Republic of Genoa,Philip II of Macedon,Brian Mulroney,Tomer Hemed,Donnie Yen,Tim BernersLee,University of Florence,Prudente de Morais,Luis Guillermo Solís,PFC Litex Lovech,Brian Wilson,Ernst Kummer,Michael Sheen,University of Zurich,Taipei Metro Line 5,Friends season 7,Kidderminster,Game Center,Chancellor of Germany,Occupation of Japan,Communist Party of Cuba,Carlos Duke of Parma,Pope Pius IX,Party of Regions,House of Vasa,Pope Stephen I,Pope Sixtus V,Li Keqiang Government,Armen Sargsyan,Pope Innocent VII,Clement Attlee,The Magicians Nephew,University of Alabama,Pedro Pires,Shire of Winton,The Chronicles of Narnia,Banastre Tarleton,Dianne Feinstein,Forensic Heroes,Portia SimpsonMiller,Carrie Underwood,Prime Minister of Yemen
Litex Football Club	City Football Group,Lima footballer,Vålerenga Fotball,Chinese FA Cup,Brendon Šantalab,Wuhan Zall FC,Rose Bowl Game,Like a Virgin song,Victor Ponta,Angels Fall First,Otto Grotewohl,Levi Woodbury,Rise of Nations,Pietro Badoglio,Pope Urban III,Villarreal CF,Exeter City FC,Lekhwiya SC,Tianhe Stadium,Force Superfly album,Rose Bowl stadium,Altai Republic,Nacho Monreal,RCD Mallorca,One Arashi album,China Railways CRH3,Pep Guardiola,Jay album,Music Madonna album,Love So Sweet,William Chan,Nintendo DSi,Little Rock Arkansas,Fool Again,Dmitry Polyansky,Émile Borel,United Left Spain,Nintendo 2DS,Bert T Combs,Body Feels Exit,Swiss Federal Council,Limbu language,Jimmy Bullard,Over Load,St Albans,Cape Colony,Dont Wanna Cry,Bob Carr,New Caledonia,PFC Litex Lovech
Cinemax	Linux,Xiaomi,Celeron,Qantas,Yanan,Jining,Zenica,Sendai,Yemen,Yunnan,Cao Cao,Hitachi,SimCity,MeeGo,Clang,FC Goa,Pauleta,Ranger 2,Sammir,Corsier,Astana,Ranger 6,AlQaeda,Chicken,Goa,Clojure,Metz,Nevada,Modula2,Naha,Bird,Tigris,Nampo,FC Metz,Armenia,Oregon,Camellia,Alkmaar,Gujarat,Delhi,Monaco,Croatia,AS Roma,Busan,Cameroon,Yang Xu,Luo Gan,Liu Jian,Hebei,Cinemax
Octopuss Garden	Leeuwarden,Conan OBrien,McLaren,Aldous Huxley,Luo Gan,Tomb Raider,Pope Mark,Ron Wyden,Shropshire,Scottish Gaelic,Gossip Candy,Marion Raven,So Girls,Ordos City,Stephen Hawking,Clojure,Chris Brown,Stefan Löfven,Donnie Yen,Bob Carr,Seth Harris,Zhongshan,Jimmy Carter,Bob Corker,Thomas Hobbes,John Curtin,Star Wars,Thomas Pledl,Hans Geiger,Harold Urey,Busan,Microsoft Word,Tuo Zhen,Kurt Alder,Iron Man,Niklaus Wirth,Mariah Carey,Otto Weininger,Ezequiel Garay,Yitzhak Rabin,Banastre Tarleton,TRAX band,North Sea,Gordon Sprigg,Wilber Pan,Oppa Oppa,Fool Again,Forensic Heroes,Flea musician,Octopuss Garden
Juventus Football Club	City Football Group,Lima footballer,Vålerenga Fotball,Wales national football team,Brendon Šantalab,Angels Fall First,Wuhan Zall FC,Sweden national football team,Chinese FA Cup,Vincenzo Montella,Mali national football team,Jules Bianchi,Dont Wanna Cry,Dave Mustaine,Luzhniki Stadium,Seven Years War,Clement Attlee,Exeter City FC,Stadium Australia,Crystal Palace FC,AS Monaco FC,Hull City AFC,Villarreal CF,Jay album,Sunny Hill,Tianhe Stadium,Serbia national football team,Rose Bowl Game,Music Madonna album,Penguin Books,Rivers Cuomo,Over Load,China Railways CRH3,Windows Photo Gallery,Friends season 7,Roberto Carlos footballer,Swiss Federal Council,Jerry Moran,Angus Young,Victor Ponta,LaurentDésiré Kabila,Nexus 7 2012,House of Hohenzollern,Order of Australia,Bert T Combs,Robert Coontz,County Monaghan,Manuel Valls,Salt Lake City,Juventus FC
New Mexico Thunderbird	New Horizons,New Caledonia,Carrie Underwood,Newark New Jersey,Brandeis University,Malice Mizer,GeForce 700 series,Levi Woodbury,GeForce 400 series,Scuderia Ferrari,Patrick Kisnorbo,Nankai University,Herbert Blumer,Sven Bender,Mao Fumei,Francesco Toldo,Leiden University,Francesco Totti,Lee Seunggi,Giorgio Chiellini,Nacho Monreal,ND Gorica,Newcastle Jets FC,Ander Herrera,Vegalta Sendai,Forensic Heroes,Ho Chi Minh City,Blerim Džemaili,Merrimack River,AMC TV channel,Northern California,Cristiano Zanetti,Athletic Bilbao,Atlantic Records,The Pretenders,Robert Trivers,The Magicians Nephew,Stefan Effenberg,Vincenzo Montella,Tim BernersLee,Leandro Guaita,Game Center,Nilo Peçanha,Bernard Mandeville,Taipei Metro Line 5,Tongzhi Emperor,Marco Di Vaio,Tokyo Disneyland,New Zealand Labour Party,New Mexico Thunderbirds
Awk	Kaká,GNU,ABBA,Goa,IOS,BASIC,EXID,Bird,VIXX,NTV7,Naha,H EP,TVBS,Lyon,Metz,Ovid,Clang,MeeGo,Nampo,SS501,Linux,Yanan,Delhi,Astana,Alkmaar,SDN48,Busan,Maxis,Quito,Hebei,Yemen,Paris,Chicken,AlQaeda,Jining,Egirls,Zenica,Sammir,FC Goa,Xiaomi,Suzhou,Oregon,Zhu Xi,Kashiwa,Armenia,Odawara,Sendai,Yunnan,Nevada,AWK
Carlos Parma	Carlos Santana,Carl Valeri,Cao Cao,Carl Levin,Marion Raven,UD Las Palmas,Croatia,Mariah Carey,Mario Gómez,Pedro Pires,Victor Ponta,Bob Carr,Miloš Zeman,Chris Brown,Katy Perry,Harold Urey,Chris Weitz,Nilo Peçanha,Corsier,Taylor Swift,Marc Janko,Bulgaria,Haruna Kojima,Clojure,Karakoram,Ordos City,Yokohama,Iron Man,Star Wars,Chromecast,Manuel Valls,Jerry Moran,Rivers Cuomo,Pauleta,Nacho Monreal,Club Atlas,Patty Murray,Todor Burmov,Marco Di Vaio,Émile Borel,Nereu Ramos,Pope Mark,Gary Locke,Jacques Demy,Camellia,Gordon Sprigg,Gerald Ford,Mao Fumei,Hayato Ikeda,Carlos Duke of Parma
goa	Naha,Lyon,AWK,GNU,IOS,FC Goa,Oregon,Metz,Monaco,Kaká,Yanan,Busan,Bird,EXID,H EP,Clang,ABBA,TVBS,VIXX,NTV7,Ovid,Delhi,Nevada,Croatia,Yunnan,Yemen,Zenica,Nampo,Sendai,Suzhou,Quito,Tigris,Astana,Hebei,GDragon,Linux,Luo Gan,MeeGo,Maxis,SS501,BASIC,Xiaomi,Modula2,Cao Cao,Egirls,Brazil,SDN48,AS Roma,Qantas,Goa
Qiang language	Daur language,Limbu language,Nivkh language,Bosnian language,Hausa language,Aymara language,Romansh language,Tigrinya language,Akkadian language,Basque language,Tibetic languages,Bulgarian language,Celtic languages,English language,Kashmiri language,Tocharian languages,Indonesian language,Wang Dongxing,Zhang Wentian,Qing dynasty,Qin Sheng,Wind song,Yang Xu,Yuan Shanshan,Pyongyang,Lin Fengjiao,Zhang Yesui,Deng Yingchao,Air Canada,The Hague,Tong Liya,Yanan,UtoAztecan languages,Valencian,Jining,Mongol Empire,Zhongshan,Tang Shaoyi,Gilan Province,Yan Xishan,Rainie Yang,Wang Zhen,Lu Zhangong,Jay album,Tianhe Stadium,Feng Guozhang,Sun Zhengcai,Chandigarh,Ivan Silayev,Qiangic languages
Zhu Xi	Lu Xun,Yang Xu,Liu Jian,Hebei,VIXX,Zenica,Xiaomi,H EP,Busan,Delhi,Sendai,Quito,Luo Gan,Yanan,Jining,Cao Cao,Suzhou,Guangxi,Nampo,Bird,Naha,Ovid,Jahangir,Yunnan,AWK,EXID,Sammir,Ich will,SS501,Modula2,Kaká,Hitachi,Shueisha,Chicken,Tigris,Pauleta,Egirls,Clang,MeeGo,Oregon,Moon EP,ABBA,Yemen,Astana,Maxis,Armenia,FC Goa,SDN48,Linux,Zhu Xi
Park Jungmin	Wang Dongxing,Marc Janko,Carl Levin,Kim Hyungil,Lee Seunggi,Mao Fumei,Chen Jianbin,Hakan Yakin,Carl Valeri,Dave Mustaine,Dai Jiaoqian,Jahangir,John Curtin,Fool Again,Sakhalin,Pakistan,Palencia,Guo Jinlong,Yan Xishan,Liu Jian,Yang Xu,Wang Zhen,Tang Shaoyi,Zhang Wentian,Lin Fengjiao,Paris,GDragon,Li Ruihuan,Xu Xiangqian,Wind song,Hu Jintao,Gary Locke,Yanan,Marion Raven,Mari Kiviniemi,Gary Cahill,Naif Hazazi,Sammir,Pyongyang,Lu Xun,Jining,Patty Murray,Jay album,Hans Geiger,Daur language,Pat Roberts,Bert T Combs,Yury Luzhkov,Mario Gómez,Park Jungmin
Alexander Kokolin	Santander Spain,Alexandre Millerand,Hakan Yakin,Alan Sheehan,Senad Lulić,Ander Herrera,Claude Makélélé,Cameroon,Angela Merkel,Francesco Toldo,Gerald Guralnik,Stefan Löfven,Sherrod Brown,Slobodan Rajković,Manuel Valls,Arjen Robben,Ledley King,Peter Crouch,Jeff Merkley,Leandro Guaita,Ronan Keating,Sean Connery,Wang Dongxing,Tang Shaoyi,Chen Jianbin,Blake Ross,Mohamed Morsi,Altai Republic,Celeron,Gerald Ford,Alianza Lima,Flea musician,Atlantic Records,Piedra Spain,Brooklyn,Red Skull,Gelderland,Hachinohe Aomori,Ranger 2,Ranger 6,Cape Colony,Clement Attlee,Roman Sharonov,Berlin,Nikola Petković,Robert Coontz,Sergey Shoygu,Duncan Oughton,Andi Herzog,Aleksandr Kokorin
Tang Ruizong	Tang Shaoyi,Feng Guozhang,Wang Zhen,Yang Xu,Wang Dongxing,Tong Liya,Wind song,Li Ruihuan,Liu Yuzhang,Yan Xishan,Guo Jinlong,Qin Sheng,Jining,Andi Herzog,Angus Young,Hans Geiger,Cape Colony,Tomb Raider,New Horizons,Naughty Dog,Lu Zhangong,Tuo Zhen,Zhang Yesui,Zhang Wentian,Lu Xun,Liu Jian,Mao Fumei,Cao Cao,Todor Burmov,Rainie Yang,Henri Brisson,Nông Đức Mạnh,Yanan,Ron Wyden,Guangxi,Denis Zvizdić,Park Jungmin,John Curtin,Bill Nelson,Pyongyang,Mestizo,Carl Levin,Pat Roberts,Run Run Shaw,Ronan Keating,TRAX band,Naif Hazazi,Blake Ross,Dave Mustaine,Emperor Ruizong of Tang
TVBSAsia	TVBS,Inuyasha,Shueisha,Camellia,Tong Liya,Busan,ABBA,Tigris,Armenia,Palencia,Bulgaria,Croatia,BASIC,Thuringia,Brazil,Animax Asia,Berlin,NTV7,BBC One,VIXX,SS501,Hitachi,SDN48,Egirls,FC Goa,Maxis,Qantas,ND Gorica,Xiaomi,AlQaeda,IOS,Setagaya,Sammir,Punjabis,Botswana,Pakistan,Delhi,Yokohama,Bird,Astana,Pauleta,AC Omonia,AWK,Sakhalin,Maebashi,Zenica,Jahangir,Goa,Corsier,TVBSAsia
