BBC Radio 1	Bradford,HTC One V,Ruhrstadion,HTC First,DC Comics,FC Goa,Belgrade,Bob Carr,Bulgaria,Croatia,Pep Guardiola,Tomb Raider,Cao Cao,AS Roma,Brazil,FC Basel,FC Seoul,Air Canada,Maxis,Voyager 2,AC Omonia,ND Gorica,New Horizons,Belfast,So Girls,Xiaomi,Ich will,AS Nancy,The Hague,GDragon,Celeron,Ranger 2,Corsier,Bird,Belize,Clang,Nampo,Jay album,FC Metz,Nintendo DS,Ranger 6,Sendai,Busan,Budapest,Nevada,Bob Corker,Emilia Fox,Botswana,Monaco,Punjabis,RCD Mallorca,Luo Gan,Cameroon,Ron Wyden,Zhu Xi,Bill Nelson,Al Ain FC,Chandigarh,Sakhalin,Bashkirs,Gary Cahill,Pat Roberts,Nereu Ramos,Kim Ryeowook,Blake Ross,Marc Janko,Li Ruihuan,Lu Zhangong,Liu Jian,Guo Jinlong,Madrid,Berlin,Paris,TVBSAsia,Cinemax,Li Keqiang,St Albans,SS501,Fool Again,Qantas,Modula2,Xiaomi Mi 2,Cape Colony,ABBA,TRAX band,Lost season 3,Shropshire,Wind song,SimCity,H EP,Nicki Minaj,Sunny Hill,Soft rock,Americas,Alkmaar,Hitachi,Yokohama,Will Champion,Egirls,BBC One
Mali National Football Team	Wales national football team,Serbia national football team,Morocco national football team,Finland national football team,Sweden national football team,France womens national football team,National Front France,Michael Marrone footballer,Czech Republic national football team,Lima footballer,City Football Group,France national under21 football team,Vålerenga Fotball,Japanese National Railways,Roberto Carlos footballer,Occupation of Japan,Music Madonna album,California State Senate,National Revolutionary Army,Nationalist Party Malta,Ali Abdullah Saleh,Vincenzo Montella,Marion Raven,John Eaton politician,Michael Bloomberg,Malcolm Fraser,Maria GoeppertMayer,Hong Kong Football Association,Stadium Australia,Indiana Pacers,Kara South Korean band,Equatorial Guinea,Rose Bowl stadium,Brendon Šantalab,Emirate of Jabal Shammar,Tianhe Stadium,Wuhan Zall FC,Bulgarian language,Paraná state,Lamborghini Gallardo,Nacho Monreal,Saint Barthélemy,Taiwanese people,Karaiskakis Stadium,Mong Kok Stadium,Li Keqiang Government,Split Croatia,Abdelaziz Bouteflika,Madonna entertainer,Victor Ponta,Agatha Barbara,Vlatko Grozdanoski,Yashio Saitama,Manuel Valls,Windows Photo Gallery,Şemsettin Günaltay,Christoph Metzelder,Waldemar Pawlak,Mari Kiviniemi,Dai Jiaoqian,Mariah Carey,Dalian Shide FC,Royal Dutch Football Association,Belgian Pro League,Melbourne City FC,Alianza Lima,Albanian Armed Forces,Al Ain FC,Rose Bowl Game,Milan Susak,Sugathadasa Stadium,Wang Liang footballer born 1989,San Antonio Spurs,Fabio Capello,Tigrinya language,Arabic alphabet,Mana Iwabuchi,AlNusra Front,Coptic alphabet,Malice Mizer,University of Alabama,Daraa Governorate,Netherlands Antilles,Mayor of New Taipei,Fabien Barthez,Daur language,Giorgio Chiellini,Jack Ryan character,Gilan Province,Mamadou Sakho,Shandong Airlines,Akkadian language,Tocharian languages,Yao people,Carl Valeri,UD Las Palmas,Altai Republic,Gary Cahill,Fujisawa Kanagawa,Mali national football team
University of California Santa Cruz	University of Portland,University of Alabama,University of Florence,University of Economics Prague,University of Notre Dame,University of Saskatchewan,University of Turin,University of Freiburg,University of Texas at Austin,University of Mississippi,University of Zurich,University of Liverpool,University of Jena,Carson California,Northern California,City of Canada Bay,Redwood City California,Pasadena California,California State Senate,Collectivity of Saint Martin,Emirate of Jabal Shammar,Carlos Adriano de Sousa Cruz,Universal Orlando,Universal Parks  Resorts,Mountain View California,Palm Desert California,United States Virgin Islands,Party of Labour of Albania,State University of New York,Municipality of Strathfield,List of counties in Arizona,List of parishes in Louisiana,Virgilio Barco Vargas,Sony Ericsson Xperia arc S,Umberto II of Italy,Republic of Korea Navy,List of Portuguese monarchs,Roberto Carlos footballer,Prince Nikolai of Denmark,Abdullah bin Khalifa Stadium,Tropical Storm Hanna 2002,Music Madonna album,Party of Regions,Rise of Nations,West Virginia,North Carolina,Shire of Winton,Order of Australia,American Samoa,Eurico Gaspar Dutra,Adiel de Oliveira Amorim,Like a Virgin song,Northrop Corporation,Financial District Manhattan,Republic of Crimea,Robert Coontz,Emperor Ruizong of Tang,Karaiskakis Stadium,Albert II of Belgium,Reinaldo Elias da Costa,First Minister of Scotland,Angelino Alfano,United Left Spain,Hungarian forint,Carlos Santana,Giorgio Chiellini,Even If Ken Hirai song,Georgios Samaras,Duchy of SaxeMeiningen,Dont Wanna Cry,New Caledonia,Rolling Star,Vegalta Sendai,Brendon Šantalab,Serbia national football team,Deportivo de La Coruña,Red Hot Chili Peppers,UD Salamanca,Ho Chi Minh City,Sovereign Military Order of Malta,Indiana Pacers,County Monaghan,Kingdom of England,Monarchy of the United Kingdom,Cristiano Zanetti,Sugathadasa Stadium,Rivers Cuomo,Occupation of Japan,Queen Noor of Jordan,Japanese National Railways,Juan Antonio Samaranch,North Brabant,Yashio Saitama,Lamborghini Gallardo,President of the European Council,TibetoBurman languages,First Love Utada Hikaru album,Gakuen Utopia Manabi Straight,City Football Group,University of California Santa Cruz
Montesquieu	Mestizo,Corsier,Ron Wyden,Conan OBrien,Donnie Yen,Mao Fumei,Qantas,Modula2,North Sea,Monaco,Maebashi,OneDrive,Tong Liya,Nintendo DS,Botswana,John Curtin,Manuel Valls,Akhenaten,Socrates,Émile Borel,Ernst Kummer,Clojure,Coquitlam,Moshe Katsav,Zhang Yesui,Bob Corker,Hans Geiger,Roger Wicker,Soft rock,Zhongshan,Confignon,Camellia,Luís Figo,Tomer Hemed,Pope Mark,Ledley King,The Hague,Kurt Alder,Wang Zhen,Milan Susak,Leessang,Mario Gómez,Cantonese,Tomb Raider,Quito,Hebei,Senad Lulić,Valencian,Lin Fengjiao,Yang Xu,Katowice,Linux,Mongol Empire,Bashkirs,McLaren,Maxis,Sunny Hill,LibreOffice,Delhi,Malice Mizer,Punjabis,Kashiwa,Zenica,Cinemax,County Durham,Ordos City,Tajimi Gifu,Hitachi,Nintendo DSi,Palencia,Yao people,MeeGo,Ranger 2,Armenia,Together When,Ranger 6,Croatia,Fool Again,Shropshire,Sendai,Metz,Nintendo 2DS,Jining,TVBSAsia,Wind song,Epicurus,Moon EP,Yemen,Belize,Niels Bohr,Ovid,Adam Smith,John Bercow,Aldous Huxley,Kurt Vonnegut,Mauritius,John B Weller,Todor Burmov,Pope Pius IX,Montesquieu
Left Party Sweden	Love So Sweet,John Paul Stevens,Leeuwarden,Heath Ledger,Vegalta Sendai,Michael Sheen,North Sea,Carl Levin,Octopuss Garden,Lethbridge,David Stern,Stefan Löfven,Patty Murray,Saint Barthélemy,Jeff Merkley,Jerry Moran,Anwar Sadat,Kurt Alder,Gary Locke,Herbert Blumer,Jetstar Airways,Katy Perry,Ron Wyden,United Left Spain,Hayato Ikeda,Party of Regions,Labour Party Hong Kong,JeanPaul Sartre,Santander Spain,Paraná state,Lima footballer,West Java,Together When,Heartful,Marion Raven,McLaren,Piedra Spain,Soft rock,Tomer Hemed,West Virginia,Dutch East Indies,New Caledonia,Thomas Pledl,Katowice,AC Sparta Prague,Ledley King,Belgrade,Seth Harris,University of Jena,Lekhwiya SC,Tim BernersLee,Taylor Swift,Luo Gan,Mario Gómez,Pat Roberts,Luke P Blackburn,SC Heerenveen,The Pretenders,John Curtin,Jimmy Carter,Pedro Pires,Lost season 3,Sergey Shoygu,Merrimack River,Wally West,Alan Sheehan,Bert T Combs,Sorry Sorry,Uttarakhand,Bertrand Delanoë,Setagaya,Gerald Ford,Dont Wanna Cry,Conan OBrien,Gerd Müller,Westwood Studios,Park Jungmin,Salt Lake City,Peter Crouch,Gary Cahill,Wang Zhen,Star Wars,Beji Caid Essebsi,Iwate Prefecture,Leandro Guaita,Tomb Raider,Yitzhak Rabin,Cantonese,Akhenaten,Hull City AFC,Löfven Cabinet,Pakistan,Air Canada,TRAX band,Bob Carr,Starcamp EP,AlQaeda,Cathay Pacific,Daur language,Left Party Sweden
Lucrezia Borgia	Ingrid Bergman,Haruna Kojima,Émile Borel,Thuringia,Lu Zhangong,Bulgaria,Chris Brown,Hungarian forint,Scuderia Ferrari,Giordano Bruno,Carl Valeri,Angela Merkel,Li Keqiang,Mariah Carey,Ludvík Svoboda,Agatha Barbara,Sherrod Brown,RCD Mallorca,Emilia Fox,Victor Ponta,Piedra Spain,Maya Yoshida,Kuniaki Koiso,Takuya Terada,Du riechst so gut,Cosmin Contra,Luís Figo,Ruhrstadion,Gerald Ford,Niels Bohr,Xu Xiangqian,Liu Yuzhang,Lin Fengjiao,Jeremy Bentham,Alianza Lima,Yugawara,Mohamed Morsi,Jerry Moran,Lee Seunggi,Athletic Bilbao,Mazda Cosmo,Leessang,Seth Harris,Split Croatia,Ledley King,Guo Jinlong,Forensic Heroes,ND Gorica,Liu Jian,Leeuwarden,Lu Wei politician,Xiaomi,Penguin Books,West Virginia,Dai Jiaoqian,CurtissWright,Fuchū Tokyo,Croatia,Karakoram,Kamchatka Krai,Surface Pro 2,Ibaraki Osaka,Sorry Sorry,Bradford,Microsoft Word,Pietro Badoglio,Luigi Einaudi,Marco Di Vaio,Avril Lavigne,Francesco Cossiga,Henri Brisson,Prudente de Morais,Camellia,Andi Herzog,Rainie Yang,Todor Burmov,Nereu Ramos,Jules Bianchi,Yuya Tegoshi,Gordon Sprigg,Fábio Aurélio,Lakhdar Brahimi,House of Vasa,Kurt Vonnegut,Denis Zvizdić,Robert Coontz,Fahri Korutürk,Francesco Totti,Jahangir,Leandro Guaita,Levi Woodbury,John Curtin,John Bercow,Fabien Barthez,Nacho Monreal,Flora Finch,Pedro Pires,Li Ruihuan,Nicki Minaj,Lucrezia Borgia
Swiss Premier League	201314 Premier League,Indian Super League,Belgian Pro League,Latvian Higher League,Tim BernersLee,Swiss Federal Council,Iwate Prefecture,Syrian Armed Forces,SC Heerenveen,Taiwanese people,Robbie Keane,The Pretenders,AC Sparta Prague,The Hague,Elvis Presley,Shimane Prefecture,Fukui Prefecture,Patrick Leahy,Chinese FA Cup,Rose Bowl Game,Santander Spain,Kashmiri language,Hausa language,Khmer Empire,Evergreen Group,Tomer Hemed,Gilan Province,Basque language,Swift programming language,Seven Years War,Ander Herrera,Daraa Governorate,Over Load,Kidderminster,Banastre Tarleton,Gossip Candy,Sergey Shoygu,Du riechst so gut,Peter Crouch,Wilber Pan,Saint Paul Minnesota,Sven Bender,Rainie Yang,Shire of Winton,Jetstar Airways,Tochigi Prefecture,Pedro Pires,2014 AFC Champions League,Empress Dowager Cian,Avril Lavigne,Hans Geiger,Heath Ledger,Haha entertainer,Nagano Prefecture,Pope Leo IX,Maria GoeppertMayer,Lucrezia Borgia,Nilo Peçanha,Ernst Kummer,Kim Heechul,201415 UEFA Europa League,PFC Litex Lovech,Rose Bowl stadium,Bosnian language,Qin Sheng,Forensic Heroes,Blue English band,French Navy,Tianhe Stadium,Li Keqiang,Esbjerg,Tigrinya language,Bulgarian language,North Sea,Sammir,Indonesian language,Surface Pro 2,Battle Fever J,Mayor of New Taipei,Kushan Empire,Senad Lulić,Scuderia Ferrari,Stefan Effenberg,United Left Spain,Daur language,Luís Figo,Game Center,Lost season 3,UD Las Palmas,Nacho Monreal,Americas,The Siren song,Xiaomi Mi 2,Split Croatia,Salt Lake City,Armenia,Tibetic languages,Notre Dame de Paris,Limbu language,Swiss Super League
Charlie and the Chocolate Factory	Windows Photo Gallery,Carrie Underwood,Jack Ryan character,Carlos Duke of Parma,Mariah Carey,Alexandre Millerand,Kara South Korean band,California State Senate,Shimane Prefecture,Red Hot Chili Peppers,The Bourne Ultimatum,Monarchy of the United Kingdom,Sean Connery,Banastre Tarleton,Dalian Shide FC,Collectivity of Saint Martin,Philip II of Macedon,Bertrand Delanoë,Carlos Santana,Ahmad Shah Bahadur,Cape Colony,Marriner Stoddard Eccles,Charles Evans Hughes,Haswell microarchitecture,Philadelphia 76ers,Maria GoeppertMayer,National Revolutionary Army,Bastian Schweinsteiger,Lhasa Gonggar Airport,Solar Dynamics Observatory,Salt Lake City,Japanese National Railways,New Zealand Labour Party,Michael Marrone footballer,City of Canada Bay,Carlos Adriano de Sousa Cruz,Chancellor of Germany,French Polynesia,Split Croatia,Mali national football team,Christoph Metzelder,Hachinohe Aomori,Taiwanese people,Nagano Prefecture,Nationalist Party Malta,Seven Years War,Friends season 7,Love Across the Ocean,Crystal Palace FC,Phil Spector,Emirate of Jabal Shammar,Brian Mulroney,Carry That Weight,Carols Ayumi Hamasaki song,Mary Todd Lincoln,Melbourne City FC,Prince Nikolai of Denmark,Cristiano Zanetti,Donald III of Scotland,Du riechst so gut,Indiana Pacers,Kamakura shogunate,Notre Dame de Paris,Mapúa Institute of Technology,Star Mika Nakashima album,Madonna entertainer,Worcester City FC,Francesco Toldo,Carl Valeri,Prime Minister of Slovenia,Saint Barthélemy,Cathay Pacific,Atlantic Records,Takeaki Matsumoto,Prudente de Morais,Chinese FA Cup,Coptic alphabet,City Football Group,Ricardo Carvalho,Brandeis University,Alan Sheehan,Francesco Totti,Haha entertainer,Ali Abdullah Saleh,Daraa Governorate,Cosmin Contra,Adiel de Oliveira Amorim,Tocharian languages,Shire of Winton,Lao Peoples Revolutionary Party,Aramaic alphabet,Arabic alphabet,Malcolm Fraser,Republic of Korea Navy,Nintendo WiFi Connection,Lima footballer,State University of New York,National Front France,Tianhe Stadium,Charlie and the Chocolate Factory film
Roberto Carlos	Robert Coontz,Robert Trivers,Ricardo Carvalho,Bob Carr,Rivers Cuomo,Nereu Ramos,Seth Harris,North Carolina,Pedro Pires,Fabio Capello,Bob Corker,Roger Wicker,Todor Burmov,Colorado Rapids,Bert T Combs,Pope Mark,Cao Cao,Star Wars,So Girls,Rise of Nations,Robbie Keane,Roman Sharonov,Gary Cahill,Fábio Aurélio,Marc Janko,Manuel Valls,Jerry Moran,Gerd Müller,John Roberts,Peter Crouch,Tomer Hemed,Jimmy Carter,John Curtin,John Bercow,Forensic Heroes,Gordon Sprigg,Sherrod Brown,Good Charlotte,Socrates,Americas,Rolling Star,Rose Bowl Game,Wilber Pan,Herbert Blumer,Gossip Candy,Cape Colony,Soft rock,Ruhrstadion,Red Skull,Air Canada,North Sea,Mariah Carey,West Java,Azerbaijanis,Love So Sweet,Berbers,Cameroon,North Brabant,County Durham,Sorry Sorry,Mario Gómez,Carl Valeri,Ched Evans,Club Atlas,Ander Herrera,Andi Herzog,Conan OBrien,Mohamed Morsi,Ronan Keating,Chris Brown,Katy Perry,Pat Roberts,Cosmin Contra,Kurt Alder,Senad Lulić,Patty Murray,Gerald Ford,Pietro Badoglio,Anton Chekhov,Fabien Barthez,Anwar Sadat,Jeff Merkley,Marion Raven,Heath Ledger,Monaco,Giordano Bruno,Waldemar Pawlak,UD Las Palmas,Moshe Katsav,Hayato Ikeda,Rose Bowl stadium,Ron Wyden,RCD Mallorca,Édith Cresson,Mestizo,RCD Espanyol,Rainie Yang,Toyota Aichi,House of Vasa,Roberto Carlos footballer
Mohammad Morsi	Gerald Ford,Mazda Cosmo,Mariah Carey,Émile Borel,Asamoah Gyan,Mamadou Sakho,Jerry Moran,Mao Fumei,Harold Urey,Sammir,John Curtin,Maya Yoshida,Malice Mizer,Zhang Yesui,Blake Ross,Pope Mark,Karakoram,Thomas Hobbes,Thomas Pledl,Monaco,Maebashi,Edogawa Tokyo,Toyota Aichi,Chavacano,Chandigarh,Xiaomi Mi 2,Sorry Sorry,Animax Asia,Ruhrstadion,Madagascar,Bradford,Star Wars,Kamchatka Krai,Ahmed Ouyahia,Hard rock,Madrid,Moshe Katsav,Manuel Valls,Joachim Löw,Conan OBrien,Roman Sharonov,Carl Valeri,Hakan Yakin,Jahangir,John Bercow,Samuel Alito,Tim Krul,Tomer Hemed,Nacho Monreal,Matěj Vydra,David Stern,Patty Murray,Mario Gómez,Milan Susak,Bob Carr,Cosmin Contra,Adam Smith,John Roberts,Sherrod Brown,Senad Lulić,Bob Corker,Jimmy Carter,Marion Raven,Angela Merkel,Zhu Xi,Emma Goldman,Kuniaki Koiso,Socrates,Marc Janko,Tang Shaoyi,Mana Iwabuchi,Ched Evans,Toumba Stadium,Bashkirs,Nampo,Yuya Tegoshi,Michael Bay,Mongol Empire,Gary Locke,Merrimack River,Warsaw Uprising,McLaren,Radoslav Kováč,Alkmaar,Modula2,Wally West,Yugawara,House of Vasa,Odawara,Inha University,Yokohama,Emilia Fox,Trabzonspor,Hungarian forint,Vegalta Sendai,Soft rock,Wind song,RCD Mallorca,Maxis,Mohamed Morsi
Tochigi Prefecture	Fukui Prefecture,Nagano Prefecture,Okayama Prefecture,Iwate Prefecture,Shimane Prefecture,Yamaguchi Prefecture,The Pretenders,Phil Spector,Tajimi Gifu,Tongzhi Emperor,Belgian Pro League,Kim Heechul,Hachinohe Aomori,The Hague,Tocharian languages,Gonchigiin Bumtsend,Luigi Einaudi,John Bercow,Fahri Korutürk,Cosmin Contra,George Grenville,Roger Wicker,Robert Trivers,Tomer Hemed,Love So Sweet,John B Weller,Tim BernersLee,Rolling Star,John Roberts,Robbie Keane,Tim Krul,Tom Hiddleston,Tomb Raider,Mikaël Silvestre,Will Arnett,Elvis Presley,Michael Sheen,Toyota Aichi,Gilan Province,Yashio Saitama,North Brabant,Shire of Winton,Tigrinya language,Tigris,Split Croatia,Luzhniki Stadium,Dordrecht,Ichihara Chiba,Soft rock,Kushan Empire,Mongol Empire,Kashmiri language,Kidderminster,Tokyo Disneyland,Suzuki Escudo,Sichuan University,Takashi Sorimachi,Shropshire,Zhang Yesui,Zhang Wentian,Bosnian language,Corsier,Worcestershire,Toumba Stadium,Nacho Monreal,Jack Kerouac,Sukhoi Su24,Donnie Yen,Khmer Empire,Taiwanese people,Indiana Pacers,Dischord Records,Malcolm Fraser,Nilo Peçanha,Stefan Effenberg,Levi Woodbury,Moshe Katsav,Cathay Pacific,John Curtin,Copa Libertadores,Bob Corker,John Paul Stevens,Montgomery Blair,Scottish Gaelic,John Sherman,Katy Perry,Édith Cresson,Good Charlotte,Chris Weitz,Lockheed P3 Orion,Tong Liya,Malice Mizer,Chuck Schumer,William Des Vœux,Ronan Keating,Victor Ponta,Game Center,Joachim Löw,Michael Bloomberg,Tochigi Prefecture
Norodom Monile	Gordon Sprigg,Nacho Monreal,Ordos City,Gerd Müller,Mongol Empire,North Carolina,Iron Man,Todor Burmov,Nedum Onuoha,AC Omonia,Mohamed Morsi,Fool Again,Victor Ponta,Haruna Kojima,Cosmin Contra,Jerry Moran,Gary Locke,Adam Smith,Atromitos FC,Nicki Minaj,North Sea,Xiaomi Mi 2,ND Gorica,Wind song,Colorado Rapids,Shropshire,Gary Cahill,Brooklyn,Yao people,New Horizons,Armenia,Sorry Sorry,Worcestershire,New Caledonia,Windows Phone,Hard rock,William Windom,Robert Coontz,Conan OBrien,Avril Lavigne,Corsier,Brendon Šantalab,Nereu Ramos,Nampo,Kuniaki Koiso,Senad Lulić,William Golding,Mamadou Sakho,Kim Hyungil,Luo Gan,Bert T Combs,Pedro Pires,GDragon,Nilo Peçanha,Émile Borel,Napoleon III,George Grenville,Flora Finch,Southampton FC,Harold Urey,Sunny Hill,Joachim Löw,Jeff Merkley,Shire of Winton,Bernard Mandeville,Marco Di Vaio,Tim Krul,Marion Raven,Donnie Yen,Piedra Spain,Ich will,Bob Corker,Gerald Ford,Thomas Pledl,Aldous Huxley,Carl Levin,Arjen Robben,Thomas Hobbes,John B Weller,Tong Liya,Good Charlotte,Confignon,Pope Mark,North Brabant,Leandro Guaita,Oregon,Niels Bohr,So Girls,Dordrecht,Chris Weitz,Taylor Swift,Nông Đức Mạnh,Cameroon,Malice Mizer,County Monaghan,Guo Jinlong,Mazda Cosmo,Xiaomi,Toyota Aichi,Norodom Monineath
Breem Dzemaeli	Tomer Hemed,Marcel Desailly,Lee Seunggi,Benjamin Disraeli,Ander Herrera,Rahm Emanuel,Miloš Zeman,Mao Fumei,Arjen Robben,Angela Merkel,Ernst Kummer,Kim Heechul,Sven Bender,Game Center,Belize,Ashkan Dejagah,Armen Sargsyan,Brendon Šantalab,Padmé Amidala,Ahmed Ouyahia,Thomas Vermaelen,Naif Hazazi,Marco Di Vaio,Bertrand Delanoë,Nereu Ramos,Tim Krul,Ched Evans,Luigi Einaudi,Casey Affleck,Carl Valeri,Leessang,Manuel Valls,Brown Eyed Girls,Nilo Peçanha,Bob Corker,Brazil,Herbert Blumer,Jacques Demy,Adam Smith,Émile Borel,Bert T Combs,Jules Bianchi,Bill Nelson,Seth Harris,Yuya Tegoshi,Camellia,The Pretenders,Leeuwarden,Hebei,Tang Shaoyi,Avex Trax,Cinemax,Zhang Yesui,Dave Mustaine,Belgrade,Gerd Müller,The Hague,Heath Ledger,Jeff Merkley,Roger Wicker,Love So Sweet,Armenia,BBC One,Maebashi,West Java,John Sherman,Brian Mulroney,Jeremy Bentham,Hans Geiger,Yao people,Kim Ryeowook,North Sea,Kim Hyungil,Bob Carr,Drake rapper,Belfast,Delhi,Sean Connery,Chen Jianbin,Mario Gómez,Brian Wilson,Over Load,Pope Stephen I,Sun Zhengcai,Altai Republic,Khmer Empire,French Navy,Scottish Gaelic,OneDrive,French Polynesia,Elvis Presley,Berbers,Red Skull,Pope Mark,Pope Leo IX,Yemen,Sendai,Iron Man,Chromecast,Blerim Džemaili
Saint Barthelemy	Fabien Barthez,Émile Borel,Haarlem,Salt Lake City,Mariah Carey,Fabio Capello,Sean Connery,Carl Valeri,John B Weller,Elvis Presley,Gary Cahill,Jeff Merkley,Sven Bender,County Durham,Qin Sheng,Jimmy Carter,Wang Zhen,Dont Wanna Cry,Cantonese,Cape Colony,Sakhalin,Jacques Demy,Saint Paul Minnesota,Rahm Emanuel,Édith Cresson,Patrick Leahy,Jeremy Bentham,John Bercow,Lakhdar Brahimi,Pietro Badoglio,Hausa language,Tim Krul,Tim BernersLee,Santander Spain,Bill Nelson,John Curtin,Chandigarh,Senad Lulić,Thomas Vermaelen,Agatha Barbara,North Sea,Alan Sheehan,Anton Chekhov,Dave Mustaine,John Sherman,Brian Mulroney,Scottish Gaelic,Patty Murray,Marion Raven,Split Croatia,Yashio Saitama,Savo Milošević,Katy Perry,David Stern,Mari Kiviniemi,Naif Hazazi,Arabic alphabet,Soft rock,Paraná state,Sunny Hill,Casey Affleck,Qantas,Rainie Yang,Tang Shaoyi,North Carolina,Will Arnett,Pat Roberts,Daur language,FC Basel,Stadium Australia,Yan Xishan,Hans Geiger,Lima footballer,Harold Urey,Yao people,Heartful,Michael Bay,Kim Heechul,SimCity,Hitachi,Starcamp EP,Seth Harris,Left Party Sweden,Socrates,Sun Zhengcai,Star Wars,Jay album,Sorry Sorry,Michael Sheen,So Girls,Game Center,Windows Phone,Qing dynasty,Lethbridge,Avril Lavigne,Banastre Tarleton,North Brabant,Jack Kerouac,Henri Brisson,Saint Barthélemy
Like a virgin song	The Siren song,West Virginia,Wind song,Warsaw Uprising,Rainie Yang,Rise of Nations,New Horizons,Shire of Winton,Henri Brisson,Luke P Blackburn,Edward Livingston,Lu Zhangong,Guo Jinlong,Even If Ken Hirai song,Li Keqiang,Flea musician,Will Champion,Leessang,Ledley King,Brian Wilson,OS X Mountain Lion,Xiaomi Mi 2,William Golding,Bill Nelson,Piedra Spain,Luís Figo,Lingya District,Confignon,Mikaël Silvestre,Édith Cresson,Aksel V Johannesen,Southern Tang,William Windom,Seth Harris,Nokia Lumia 800,Lee Seunggi,Liu Jian,Armen Sargsyan,Kidderminster,Suwa Nagano,Pope Urban III,Deng Yingchao,Chen Jianbin,Pier Luigi Bersani,Lucrezia Borgia,Lin Fengjiao,Li Ruihuan,Liu Yuzhang,So Girls,Blue English band,Yellow Coldplay song,Over Load,Rivers Cuomo,Evergreen Group,Angus Young,HTC First,AlNusra Front,Avril Lavigne,Nicki Minaj,Hungarian forint,Lost season 3,GDragon,The Rolling Stones,Lima footballer,Penguin Books,Limbu language,Qin Sheng,Flora Finch,Stefan Effenberg,Ched Evans,Americas,Naughty Dog,Andi Herzog,Ronan Keating,Löfven Cabinet,Mini DisplayPort,Hakan Yakin,Chavacano,Saint Paul Minnesota,Victor Ponta,Lekhwiya SC,Lethbridge,Al Ain FC,Emilia Fox,Ingrid Bergman,Yuya Tegoshi,Robert Trivers,Duncan Oughton,David Stern,Zara Phillips,Universal Orlando,Celeron,Lakhdar Brahimi,Conan OBrien,Eagle Airways,Cape Colony,Pedro Pires,Jules Bianchi,Lu Wei politician,Like a Virgin song
Central Academy of Drama	Republic of Crimea,Carlos Duke of Parma,Republic of Genoa,Pedro I of Brazil,Jeremy Bentham,Kingdom of Italy,University of Jena,House of Vasa,Chancellor of Germany,Daraa Governorate,University of Alabama,Communist Party of Cuba,Notre Dame de Paris,The Chronicles of Narnia,Emperor Ruizong of Tang,Deportivo de La Coruña,Santander Spain,Carl Valeri,Sandra Day OConnor,Umberto II of Italy,Gerald Ford,Order of Australia,University of Turin,Star Awards 2001,Occupation of Japan,Syrian Armed Forces,Party of Labour of Albania,University of Zurich,Vegalta Sendai,One Arashi album,Starcamp EP,Cathay Pacific,Atlantic Records,Kingdom of England,Hungarian forint,Stadium Australia,Setagaya,Dont Wanna Cry,Carson California,Takuya Terada,Ander Herrera,Kingdom of Sicily,Karakoram,Prince Nikolai of Denmark,American Samoa,Montgomery Blair,Haj Ali Razmara,Francesco Toldo,Bertrand Delanoë,Kawaguchi Saitama,Francesco Totti,Nintendo DSi,Malice Mizer,Anwar Sadat,Nereu Ramos,Carrie Underwood,Carlos Santana,Left Party Sweden,Waldemar Pawlak,Agatha Barbara,Leandro Guaita,Prudente de Morais,Pietro Badoglio,Gustav Ludwig Hertz,Malcolm Fraser,Jerry Moran,Gerald Guralnik,Padmé Amidala,Reinaldo Elias da Costa,Kurt Alder,Jacques Demy,County Durham,Casey Affleck,New Caledonia,Ingrid Bergman,Nintendo DS,Newark New Jersey,Crystal Palace FC,Perfume Japanese band,Qinghai Senke FC,University of Portland,Animax Asia,Albanian Armed Forces,Mongol Empire,Republic of Korea Navy,Asamoah Gyan,Democratic Party Mongolia,Atromitos FC,Shire of Winton,Sugathadasa Stadium,Alianza Lima,Tongzhi Emperor,RCD Mallorca,City Football Group,Prime Minister of Yemen,Belgian Pro League,Toumba Stadium,Western Yugur language,China Railways CRH3,Central Academy of Drama
