Dimitris Sioufas	Dimitris Sioufas,Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Demetris Christofias,Dmitry Livanov,Antonis Samaras,Giannis Ragousis,Javier Solana,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,David Libai,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Margaritis Schinas,Dieter Althaus,Tzipi Livni,Microsoft,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,South Sudan,Marisa Matias,Doris Leuthard,Albio Sires,Siiri Oviir,Dmitry Mezentsev,Academia Sinica,Aamir Khan,Alastair Goodlad,M%C3%A1rio Soares,United Russia,United Nations,Lithuania,Tajikistan,Mauritania,Eiki Nestor,Antanas Mockus,Mike Simpson,Neritan Ceka,Tim Fischer
Tamim bin Hamad Al Thani	Tamim bin Hamad Al Thani,Hamad bin Khalifa Al Thani,Turki bin Faisal Al Saud,Khalid bin Sultan Al Saud,Mohammad Hamid Ansari,Osama bin Laden,Taha Yassin Ramadan,Tarek William Saab,Muhiuddin Khan Alamgir,Liaquat Ali Khan,Abdus Samad Azad,Wangari Maathai,Jalaluddin Haqqani,Amitabh Bachchan,Salman Khan,William Cohen,Mohammad-Ali Rajai,Ayaan Hirsi Ali,Tim Holden,Taslima Nasrin,Aamir Khan,Mikheil Saakashvili,Amanullah Khan,Tzipi Livni,Thierry Mariani,Jeff Bingaman,Hamid Karzai,Hassan Rouhani,Alain Madelin,Maria Elena Boschi,Nandan Nilekani,Luis Videgaray Caso,Christine Albanel,Sahabzada Yaqub Khan,Shulamit Aloni,Javier Solana,Alpha Kappa Alpha,Raffi Hovannisian,Muammar Gaddafi,Kristiina Ojuland,Valentin Yumashev,Christine Haderthauer,Tajikistan,J. Jayalalithaa,Robin Hayes,L. K. Advani,Babacar Gaye,David Libai,Yahya Khan,Quamrul Hassan
Karl-Theodor zu Guttenberg	Karl-Theodor zu Guttenberg,Karel Schwarzenberg,Arkady Rotenberg,Theodor Stolojan,Greta Thunberg,Wilhelm Molterer,Josh Frydenberg,Karel De Gucht,Carles Puigdemont,Karolos Papoulias,Joe Knollenberg,Earl Blumenauer,Peeter Kreitzberg,Melchior Wathelet,Carlos Menem,Paymaster General,Hans-Gert P%C3%B6ttering,Walter Momper,Laurenz Meyer,Walter Kasper,Frank-Walter Steinmeier,Hans-Rudolf Merz,Manfred Kanther,Norbert Lammert,Tom Steyer,Alfonso Guerra,Mark Rutte,David Vitter,Dale Bumpers,Salvatore Cuffaro,Timothy J. Keating,Mario Blejer,Catherine Ashton,Carlos Santana,Tarcisio Bertone,Pascale Bruderer,Marine Le Pen,Carla Del Ponte,Marc-Philippe Daubresse,Arlene Foster,Alfredo Barnechea,Bill Shorten,Carlos Tevez,Urho Kekkonen,Martin McGuinness,Carlos Rodado Noriega,Khosrov Harutyunyan,Pierre Werner,Ant%C3%B3nio Guterres,Werner Hoyer
Manuel Valls	Manuel Valls,Daniel Scioli,Miguel Arraes,Jaume Matas,Paulo Maluf,Emmanuel Macron,Ed Balls,Michael Fallon,Jacques Delors,Nancy Pelosi,Vince Cable,Rand Paul,Mary Fallin,Monika Harms,Fine Gael,Cape Verde,Mauritania,Javier Solana,Ahmed Galal,Marion Barry,Madeira,Paul Reeves,Nigel Evans,Laurent Fabius,Paul Martin,Fidel Castro,Senegal,Sanna Marin,Paul Biya,Paul Ryan,Bill Gates,Angelo Scola,Marek Jurek,Marisa Matias,Hans Hillen,Marat Tajin,Mart Laar,Paul Simon,Moshe Arens,Aosta Valley,Grace Kelly,Mauritius,Tanja Fajon,Anke Fuchs,Marie Bashir,Samuel Schmid,Hans Blix,Martha McSally,Jane Harman,Honduras
Henri Emmanuelli	Henri Emmanuelli,Henry McLeish,Denny Tamaki,Harri Holkeri,Helen Liddell,Don Manzullo,Connie Morella,Eliot Engel,Eric Garcetti,Bernd Lange,Hugo Banzer,Lord Chancellor,Uri Rosenthal,Jerry Moran,Georgi Bliznashki,Fredrik Reinfeldt,Mary Fallin,Leon Panetta,Terry Branstad,Jordi Turull,Jerry Weller,Gerrit Zalm,Per Unckel,Jack Markell,Henrik,Rand Paul,Norm Kelly,Fine Gael,Tzachi Hanegbi,Neritan Ceka,Henk Kamp,Satya Nadella,Meir Dagan,Alain Madelin,Daniel Scioli,Jean Spautz,Edi Rama,Guido Carli,Chris Huhne,Maurizio Lupi,Jean Charest,Pietro Lunardi,Renaud Dutreil,Manuel Valls,Hans Blix,Irene Pivetti,Patrick Mayhew,Pierre Werner,Melchior Wathelet,Frank Swaelen
Oleg Ivanovich Lobov	Oleg Lobov,Oleg Belaventsev,Ivan Safronov,Alexander Tikhonov,Ole von Beust,Oleh Liashko,Alexander Lentsov,Alexander Dzasokhov,Oleg Ostapenko,David Libai,George Radanovich,Kenji Goto,Dan Tichon,George Voinovich,Giovanni Lajolo,Electronic Arts,Blagovest Sendov,Iliana Iotova,Lord Chancellor,Nikolai Levichev,Yury Luzhkov,Yevgeny Primakov,Petro Poroshenko,Alexander Stubb,Vladimir Yegorov,Ivan Rybkin,Allan Rock,Pavel Grachev,Alu Alkhanov,Arsen Avakov,Renato Soru,Igor Konashenkov,Rob Nicholson,Alexei Mordashov,Valentin Pavlov,Olha Bohomolets,Jean Schmidt,Bogdan Klich,Taro Kono,Kiro Gligorov,Spanish Army,Ivan Kyrylenko,Bill Richardson,Spanish Navy,Aslan Maskhadov,Robin Cook,Yves Cochet,Alexandr Vondra,Janez Stanovnik,Gianni Letta
Arsen Avakov	Arsen Avakov,Argentina,Ali Abbasov,Anson Chan,Pavel Astakhov,Rumen Radev,Arab League,Yury Luzhkov,Yevgeny Primakov,Ahmed Galal,Allan Rock,Alu Alkhanov,Nigel Evans,Joseph Stalin,Oleg Lobov,Ken Starr,Mike Crapo,Roman Herzog,Arne Duncan,Greg Abbott,Arlene Foster,Amr Waked,Liese Prokop,Amy Adams,Angela Merkel,Helen Clark,Ilse Aigner,Henrik,Josef Lux,African Union,Burkina Faso,Slovakia,Rein Lang,Saudi Arabia,Boris Nemtsov,Rosen Plevneliev,Sergey Gaplikov,Alfred Sant,Adrian Smith,Robin Hayes,L. K. Advani,Dmitry Livanov,Andrew Card,Jean Spautz,Igor Klimov,Dan Burton,Abu Darda,Pavel Grachev,Ivan Rybkin,Peter Hintze
Rick Boucher	Rick Boucher,Rick Scott,Rick Larsen,Tim Fischer,Eric Holder,Lucien Bouchard,Yves Cochet,John Boehner,Jochen Borchert,Heinz Fischer,Cory Booker,Bill Bradley,Dick Celeste,Dale Bumpers,Jim Risch,Gary Locke,Jack Lew,Bill Ritter,Jim Doyle,Dick Marty,Tim Holden,Rick Santorum,Kirk Fordice,Michel Mercier,Bill Young,Mark Warner,Hugo Banzer,Michel Barnier,Mark Rutte,Dick Spring,Kit Bond,Dan Boren,Piet Bukman,Anke Fuchs,Rosa Aguilar,Vern Buchanan,Mark Binskin,Lionel Bowen,Jim Molan,Chuck Robb,Tom Steyer,Jack Markell,Lars Barfoed,Marek Jurek,Jon Tester,Mario Blejer,Ernie Fletcher,Bob Dole,Don Young,Bram Peper
University of Ottawa	University of Ottawa,University of Sussex,University of Waterloo,University of Chile,University of Cape Town,University of New Brunswick,University of Buenos Aires,Secretary of state,Richard Ottaway,Berkshire Hathaway,Uri Rosenthal,Thierry Mariani,Terry Branstad,Neritan Ceka,Takeshi Onaga,Umberto Bossi,Oliver Letwin,Republic of Artsakh,Gyanendra of Nepal,Roberta Pinotti,Gianni Letta,Valeriy Horbatov,Gerrit Zalm,Gerrit Braks,American University of Beirut,York University,University of the Philippines,United Nations,Church of Greece,United Russia,United Arab Emirates,Gabriel Oprea,Movement for France,Iberian Peninsula,Microsoft,Siiri Oviir,Moderate Party,Marisa Matias,David Vitter,Robert Mugabe,Doris Leuthard,Inner Mongolia,Kristiina Ojuland,Wangari Maathai,Ernesto Samper,Carlos Santana,Puerto Rico,Yves Leterme,Joseph Estrada,Catherine Ashton
Jack Markell	Jack Markell,Jack Lew,Mark Warner,Jack Layton,Jay Carney,Dick Marty,Rick Larsen,Marco Maciel,Mark Kirk,John Warner,Paul Martin,Jane Harman,Tom Carper,Mark Rutte,Mark Dayton,John Dawkins,Mark Pryor,Dan Boren,Patrick Mayhew,Sally Jewell,Marek Jurek,Jay Weatherill,Jan Pronk,Gary Locke,Alain Madelin,Dick Spring,Rand Paul,Per Unckel,Marko Mihkelson,Lars Barfoed,Jean Charest,Jaume Matas,Don Manzullo,Sanna Marin,Lucy Turnbull,Amr Waked,Jordi Turull,Satya Nadella,Grace Kelly,Fine Gael,Tom Udall,John Linder,Jim Molan,Ben Cardin,Frank Jensen,John Brumby,Jim Doyle,John Key,Rick Scott,Dick Celeste
Pavel Tigrid	Pavel Tigrid,Peter Wittig,Pavel Grachev,David Libai,Paul Martin,Paul Biya,Paul Simon,Samuel Schmid,James Florio,David Vitter,Marek Jurek,Daniel Scioli,Dan Tichon,David Dinkins,Yair Lapid,Paul Reeves,Marat Tajin,David Ige,Pavel Astakhov,Pio Laghi,Pascal Canfin,Daniel Toribio,Paul Ryan,Paul Tsongas,Sanna Marin,Mark Kirk,Dave Weldon,Patty Murray,Reuven Rivlin,Ilse Aigner,Sajid Javid,Port Said,Madeira,Peter Hintze,Tommy Lapid,Paulo Maluf,Henrik,Madrid,Gabriel Oprea,Marcelo Ebrard,Peter Cosgrove,Ivan Rybkin,Peter DeFazio,Lionel Jospin,Hans Blix,Mark Binskin,Lazard,Per Unckel,Oliver Letwin,Yves Cochet
Javier Pérez de Cuéllar	Javier P%C3%A9rez de Cu%C3%A9llar,Javier Diez Canseco,Javier Solana,Jerry Weller,Pierre Werner,Javier Hern%C3%A1ndez,David Dreier,Carles Puigdemont,Salvatore Cuffaro,Jacqueline Cramer,Jay Rockefeller,Jack Markell,Karel De Gucht,Pier Ferdinando Casini,Jacques Chirac,Rosen Plevneliev,Jay Weatherill,Karolos Papoulias,Jacques Delors,Josef Pr%C3%B6ll,David Ben-Gurion,Satya Nadella,Connie Morella,Didier Burkhalter,Edelgard Bulmahn,United Russia,University of Chile,Cape Verde,Luis Posada Carriles,Jorge Illueca,Lawrence Cannon,F. W. de Klerk,Jerry Moran,Giuseppe Bertello,Mario Barletta,Gabriel Oprea,Mario Blejer,Jerry Lewis,Leszek Miller,Jim Prentice,Andrew Powell,Jair Bolsonaro,Ernie Fletcher,David Libai,Arnold Koller,Luisa Fernanda Rudi,Iberian Peninsula,David Vitter,Lamar Alexander,Joseph Prueher
Gerda Hasselfeldt	Gerda Hasselfeldt,Gerd Leers,Fredrik Reinfeldt,Jean Asselborn,Redha Malek,Jerry Weller,Satya Nadella,Greg Walden,Dean Heller,Grace Kelly,Bernd Lange,Gerald Klug,Brian Mikkelsen,Harri Holkeri,Elena Salgado,Per Unckel,Gun Hellsvik,Gerrit Zalm,Lars Barfoed,Terry Branstad,Rebiya Kadeer,George Habash,Anders Samuelsen,Celso Lafer,Guido Carli,Gresham Barrett,Mario Barletta,Helen Liddell,Mary Fallin,Jordi Turull,Andrew Lansley,Carla Del Ponte,Ehud Olmert,Jack Markell,Glenn Greenwald,Amr Waked,Lord Chancellor,Marco Maciel,Ed Balls,Eric Holder,Chuck Grassley,Aosta Valley,George Osborne,Ian Paisley,Gerasimos Arsenis,Norm Kelly,Sierra Leone,Karim Massimov,Greta Thunberg,Tanya Plibersek
Jacques Delors	Jacques Delors,Jacques Chirac,Jacques Santer,James Florio,Nancy Pelosi,Jacques Cousteau,Manuel Valls,Javier Solana,Jean Asselborn,Jacqueline Cramer,Paul Reeves,Jack Lew,Jaume Matas,Jack Markell,Grace Kelly,Jon Tester,Dave Weldon,Julius Nyerere,Cape Verde,Raymond Kelly,Laurent Fabius,Michael Flynn,Peter Welch,Stephen Solarz,Marcus Stephen,Jan Kohout,Daniel Scioli,Paulo Maluf,Gwen Moore,Joachim Gauck,Marine Le Pen,Richard Caborn,Danny Pieters,Andrus Ansip,Gaston Flosse,Noel Davern,Jerry Lewis,Laurenz Meyer,Bruce George,Hans Hillen,Jan Pronk,Harrison Ford,Michael Fallon,Paul Simon,Yves Leterme,Carlos Slim,Dale Bumpers,Jay Weatherill,Gerd Leers,Kate Brown
Jay Rockefeller	Jay Rockefeller,Gary Locke,Jay Weatherill,Jack Markell,Jerry Weller,Dean Heller,Raymond Kelly,Patrick Hillery,Patrick Ollier,Jay Carney,Jack Lew,Paul Reeves,Jim Doyle,Mario Blejer,Jon Tester,Sally Jewell,Cory Booker,John Boehner,Arnold Koller,Per Unckel,Leszek Miller,John Hickenlooper,John R. Allen,Mary McAleese,Eric Holder,Jack Layton,Mark Warner,Rick Larsen,John Warner,John Linder,Jim Prentice,Lamar Alexander,Tim Holden,Allan Rock,Joe Crowley,Norm Kelly,Bob Dole,Tom Steyer,Josef Lux,Edwin Feulner,Raymond Barre,Ian Paisley,Joe Lieberman,Jan Pronk,Hans Hillen,Jean Asselborn,Rick Boucher,Dan Boren,Joseph Prueher,Bram Peper
Fulvio Rossi	Fulvio Rossi,Umberto Bossi,Pio Laghi,Guido Carli,Ignazio Cassis,Albio Sires,Solomon Passy,Jim Risch,David Libai,Ludwik Dorn,Eli Suissa,Els Borst,Kevin Rudd,Avijit Roy,Julie Bishop,Allan Rock,Puerto Rico,Maurizio Lupi,Antonio Inoki,Celso Lafer,Sergio Diez,Paulo Maluf,Jim Molan,Luis Cruz,Edi Rama,Gaston Flosse,Toivo Asmer,Renato Soru,Kenji Goto,David Ige,United Russia,Alice Rivlin,Ivan Rybkin,Jim Doyle,Yuriy Ilyin,Alain Berset,Rodrigo Rato,Al Gore,Lionel Jospin,Eli Lilly,Dipu Moni,Gavin Newsom,Reuven Rivlin,Marie Bashir,Kevin Brady,Taro Kono,Rumen Radev,Hu Jintao,Jyoti Basu,Oleg Lobov
Sovereign Military Hospitaller Order of Saint John of Jerusalem of Rhodes and of Malta	Sovereign Military Order of Malta,Secretary of State for International Development,Secretary of State for Levelling Up, Housing and Communities,Party of Communists of the Republic of Moldova,Communist Party of Bohemia and Moravia,David Richards, Baron Richards of Herstmonceux,Pontifical Catholic University of Chile,Communist Party of the Russian Federation,Syrian Social Nationalist Party,Secretary of State for Justice,Lord President of the Council,Socialists%27 Party of Catalonia,United Socialist Party of Venezuela,Memorial University of Newfoundland,Central American Bank for Economic Integration,Shanghai Cooperation Organisation,Brazilian Social Democracy Party,Liberal Democratic Party of Russia,Soraya S%C3%A1enz de Santamar%C3%ADa,Saint Vincent and the Grenadines,Alliance for the Future of Austria,Central European University,Provisional Irish Republican Army,Toronto Metropolitan University,Liberal Democracy of Slovenia,Director of National Intelligence,Complutense University of Madrid,United States Virgin Islands,American University of Beirut,University of Buenos Aires,United Nations%E2%80%93African Union Mission in Darfur,University of Waterloo,Party of the Democratic Revolution,Order of the Holy Sepulchre,Massachusetts Institute of Technology,Security Service of Ukraine,Austrian Academy of Sciences,International Criminal Court,Bucharest Academy of Economic Studies,The People of Freedom,University of the Philippines,Yerevan State University,National Party of Australia,New York City Police Department,Radical Party of the Left,Jean Corston, Baroness Corston,Inter-American Development Bank,Commonwealth of Independent States,Vladimir Vasilievich Rusakevich,Gonzalo S%C3%A1nchez de Lozada
Christian Estrosi	Christian Estrosi,Christine Egerszegi,Christine Albanel,Christina Romer,Marisa Matias,Sebastian Kurz,Christoph Blocher,Chris Murphy,Chris Huhne,Neritan Ceka,Eric Cantor,Kristiina Ojuland,Chet Edwards,Corina Casanova,Cristina Garmendia,Joseph Estrada,Canadian Army,Eric Garcetti,Iliana Iotova,Tarcisio Bertone,Eiki Nestor,Anna Eshoo,Gaston Flosse,Arsen Avakov,African Union,Valentin Inzko,Curtis Scaparrotti,Jan Pronk,Jean Charest,Chris Grayling,Karim Massimov,Chantal Jouanno,Akhmedjan Essimov,Tigran Torosyan,Hassan Rouhani,Srgjan Kerim,Monika Harms,Valentin Pavlov,Carlos Santana,Gresham Barrett,Justin Trudeau,Lisa Murkowski,Adrian Smith,Brian Cowen,Giuliano Amato,Chaim Herzog,Catherine Ashton,Kristina Keneally,Christine Haderthauer,Central America
Victor Ponta	Victor Ponta,Victor Ciorbea,Peter Hintze,Microsoft,Kit Bond,Viktor Pynzenyk,Lithuania,Estonia,Vietnam,Le Point,Leon Panetta,Dick Marty,Catalonia,Javier Solana,Rick Scott,Omar Bongo,Napoleon,Gianni Letta,South Korea,Taro Kono,Dipu Moni,Viktor Stepanov,Finns Party,Romania,Mauritania,Alfred Sant,Richard Danzig,Lionel Bowen,Vittorio Grilli,Ernest Moniz,Sardinia,Dick Celeste,Renato Soru,Vincenzo Scotti,Peter Welch,V. P. Singh,Ted Poe,Walter Momper,Carlos Santana,Don Young,Eric Cantor,Jim Doyle,Lothar Bisky,Bill Young,Morocco,Dick Spring,Vince Cable,Dieter Althaus,Sierra Leone,Werner Hoyer
Khaleda Zia	Khaleda Zia,Khakassia,Theresa May,Bulgaria,Slovakia,Sardinia,Kadima,Cantabria,Chuvashia,Mauritania,Madrid,Romania,Lithuania,Ahmed Galal,Kate Brown,Salman Khan,Latvia,Madeira,Wales,Yahya Khan,David Libai,Violeta Bulc,David Ige,Ted Poe,Paul Biya,Paul Martin,Vlad Filat,Catalonia,Buryatia,Charles Pasqua,Amartya Sen,Palau,United Russia,Chechnya,Guyana,Saudi Arabia,Holy See,The Bahamas,Russia,Argentina,Cape Verde,Iceland,Spain,Taiwan,Port Said,Estonia,Melissa Bean,Henrik,Edi Rama,Burundi
Wales	Wales,Palau,Fidesz,Nauru,Spain,Gabon,Tatars,Madrid,Greece,Israel,Smile,Shas,Iran,Taiwan,Napoleon,IBM,Latvia,Madeira,France,Benin,Guam,Nokia,Nokia,Audi,Iceland,Google,Meretz,Libya,Ed Balls,Airbus,Brunei,Fiji,Belgium,Sony,Cisco,Dagestan,Ukraine,Guyana,Sufism,Romania,Tuva,Russia,Lazard,Pakistan,HSBC,Kadima,Holy See,Sicily,Senegal,UNICEF
Simonetta Sommaruga	Simonetta Sommaruga,Violeta Bulc,Renato Soru,Ernesto Samper,Stephen Solarz,South Korea,Donna Shalala,Norbert Lammert,Javier Solana,Antonis Samaras,Simon Coveney,Leonid Kozhara,Sanna Marin,Pietro Lunardi,Santiago Creel,Monika Harms,Anna Fotyga,Susana Malcorra,Lionel Bowen,Scott Garrett,Dieter Althaus,Liudmyla Suprun,Greta Garbo,South Sudan,Leonid Gozman,Michael Bloomberg,Riitta Uosukainen,Betty Boothroyd,Eni Faleomavaega,Samuel Schmid,Central America,Lionel Jospin,Michael Howard,Joseph Stalin,Piet Bukman,Roberta Pinotti,Anne Hidalgo,Vietnam,Elena Salgado,Corina Casanova,Port Said,Jean Spautz,Christina Romer,Arlene Foster,Theresa May,Dawn Primarolo,Eliane Karp,Satya Nadella,Sheikh Hasina,Marietta Giannakou
Church of Greece	Church of Greece,Council of Europe,Chuck Grassley,Bank of America,Greece,South Korea,Kirk Fordice,Santiago Creel,Bruce George,Chris Huhne,Charlie Baker,Jeune Afrique,Chris Murphy,Mitch Landrieu,Al Green,Claudio Huepe,Chuck Robb,Mary McAleese,Yehudah Glick,Carlos Menem,Carlos Tevez,French Army,Puerto Rico,Sierra Leone,Central America,Marek Jurek,Bob Graham,Nuon Chea,Lauch Faircloth,Scott Garrett,Rick Larsen,Paul Reeves,Christina Romer,Joachim Gauck,Marcus Stephen,Dick Celeste,Babacar Gaye,Connie Morella,Jack Markell,Sergio Diez,Cory Booker,Chet Edwards,Mark Warner,Chechnya,Celso Lafer,Carla Del Ponte,Moshe Arens,Duncan Kerr,Carlos Slim,Marcelo Ebrard
Gonzalo Sanchez de Lozada	Gonzalo S%C3%A1nchez de Lozada,Bosnia and Herzegovina,Johann Schneider-Ammann,Angelo Scola,Gilles de Robien,Odilo Scherer,Eberhard van der Laan,Abdus Samad Azad,Donna Shalala,Gerda Hasselfeldt,Juan Lozano,Carlos Santana,Loyola de Palacio,Roland Koch,Javier Solana,Eduardo Brizuela del Moral,Don Manzullo,Wolfgang Gerhardt,H. D. Deve Gowda,Bob Menendez,Abdullah II of Jordan,Hans van den Broek,Roman Herzog,Connie Hedegaard,Alexander Dzasokhov,Alexandr Vondra,Leonid Kozhara,Huda Salih Mahdi Ammash,Nancy Pelosi,Arnold Schwarzenegger,Anwar Sadat,Canadian Armed Forces,Mobutu Sese Seko,Lord Chancellor,Nadiya Savchenko,Holy See,Ernesto Samper,Hugo Banzer,Pablo Escobar,Joseph Estrada,Lawrence Cannon,Juan Almeida Bosque,Stephen Solarz,Daniel Scioli,Johannes Hahn,Salvatore Cuffaro,Renato Soru,Solomon P. Ortiz,John Redwood,Leon Panetta
Hartmut Bagger	Hartmut Bagger,Walter Kasper,Hugo Banzer,Mart Laar,Borut Pahor,Marie Bashir,Mark Warner,Mario Blejer,Charlie Baker,Walter Momper,Bram Peper,Norbert Hofer,Lars Barfoed,Bernd Lange,Barbara Prammer,Marat Tajin,Marco Maciel,Ernesto Samper,Jacques Santer,Tom Carper,Raymond Barre,Marion Barry,Harri Holkeri,Hamid Karzai,Cory Booker,Stavanger,Candice Bergen,Norbert Lammert,Herbert Kickl,Erwin Huber,Arnold Koller,Harald Kujat,Gabi Zimmer,Laurenz Meyer,Babacar Gaye,Tom Steyer,Werner Hoyer,Manfred Kanther,Marek Jurek,Mark Rutte,Hans Hillen,Hans Blix,Michel Barnier,Hanno Pevkur,David Ige,Paul Biya,David Vitter,Mario Barletta,Rumen Radev,Paul Martin
Sergey Menyaylo	Sergey Menyaylo,Sergey Aksyonov,Sergey Gaplikov,Serhiy Tihipko,Peter DeFazio,George Weah,Sherry Rehman,Jerry Moran,Serhiy Arbuzov,Steven Mnuchin,George Habash,Sergio Diez,Werner Hoyer,Carlos Menem,Beppe Grillo,Per Unckel,Martha McSally,Arne Duncan,Jerry Weller,Werner Faymann,Barney Frank,Don Manzullo,Sally Jewell,Bobby Jindal,Senegal,Patty Murray,Gerrit Zalm,Jerry Lewis,Lee Teng-hui,Yevgeny Primakov,Yuriy Ilyin,Alexei Mordashov,Yevhen Marchuk,Yury Chaika,Argentina,Angela Merkel,Theresa May,Arsen Avakov,Stephen Solarz,George Voinovich,Yevgeny Shevchuk,Leszek Miller,Ahmed Galal,Peter Welch,Pete Peterson,Ernest Moniz,Uri Rosenthal,Frank Jensen,Steven Chu,Taro Kono
Chatichai Choonhavan	Chatichai Choonhavan,Mahathir Mohamad,Matti Vanhanen,Thad Cochran,Mathias Cormann,Pascal Couchepin,Corina Casanova,Chiang Ching-kuo,Chantal Jouanno,Tatyana Golikova,Takeshi Onaga,Giancarlo Galan,Richard Caborn,William Cohen,Pascal Canfin,Patricia Scotland,Pat Buchanan,Catalonia,Shintaro Ishihara,Amitabh Bachchan,Makiko Tanaka,Leonid Kozhara,Tzachi Hanegbi,Hassan Rouhani,Yitzhak Mordechai,Iliana Iotova,Mel Carnahan,Liaquat Ali Khan,Tigran Torosyan,Richard Ottaway,Steve Rothman,Victor Ciorbea,Brian Cowen,Michel Suleiman,Alastair Goodlad,Aamir Khan,Chechnya,Vladimir Voronin,Irina Yarovaya,Vladimir Kozhin,Richard Dannatt,Victor Ponta,Michael Bloomberg,Yahya Khan,Amanullah Khan,Michael Flynn,Richard Branson,Michael Howard,Catherine Ashton,David Johnston
Marietta Giannakou	Marietta Giannakou,Makiko Tanaka,Marisa Matias,Matti Vanhanen,Greta Garbo,Marie Bashir,Martha McSally,Mary Landrieu,Mitch Landrieu,Murat Zyazikov,Lawrence Cannon,Mart Laar,Mark Binskin,Barney Frank,Sergey Gaplikov,Corina Casanova,Yukiya Amano,Roberta Pinotti,Mauritania,Davit Bakradze,Greta Thunberg,Mary Fallin,Melissa Bean,Kristina Keneally,Adrienne Clarkson,Marilyn Musgrave,Karim Massimov,Elena Salgado,Marine Le Pen,Monica Lewinsky,Pietro Lunardi,Uzi Landau,Martin McGuinness,Mel Carnahan,Marko Mihkelson,Mircea Geoan%C4%83,Marek Jurek,Oleh Liashko,Marat Tajin,Mario Barletta,Fareed Zakaria,Marion Barry,Lamberto Dini,Saken Zhasuzakov,Arsen Avakov,Marcelo Ebrard,Barbara Mikulski,Pieter Winsemius,Hage Geingob,Mark Kirk
C. W. Bill Young	Bill Young,F. W. de Klerk,V. P. Singh,H. D. Deve Gowda,R. P. Singh,Don Young,L. K. Advani,EH Bildu,Bill Gates,C. Boyden Gray,Hans Hillen,Poul Nielson,H. R. McMaster,Carla Del Ponte,R. Nicholas Burns,John R. Allen,Rein Lang,Ed Balls,William Cohen,Bill Ritter,Mark Binskin,Kit Bond,Dan Tichon,Kate Brown,Mike Simpson,Dan Burton,Bill Shorten,Jerry Brown,Cory Booker,Karen Ellemann,Susan Collins,Eli Lilly,Paul Simon,Dipu Moni,Vijay Bahuguna,Omar Bongo,Beppe Grillo,Chris Grayling,Jeff Bingaman,Willy Claes,Julie Bishop,Mary Fallin,Jim Bunning,Gerald Klug,Fleur Pellerin,Joel Villanueva,Christina Romer,Chris Huhne,Wim Kok,T. Michael Moseley
Lord President of the Council	Lord President of the Council,Movement for France,University of Cape Town,The People of Freedom,Radical Party of the Left,University of New Brunswick,Moshoeshoe II of Lesotho,University of Chile,University of the Philippines,University of Waterloo,Lawrence Cannon,Pete Peterson,University of Sussex,Uri Rosenthal,Union of Right Forces,Gyanendra of Nepal,Ernest Moniz,Israel Defense Forces,Lodewijk Asscher,Norodom Sihamoni,Tarcisio Bertone,Piet Hein Donner,Lord Chancellor,Anastasios Peponis,Commonwealth of Nations,University of Buenos Aires,Bank of America,Order of the Holy Sepulchre,Radio Television of Serbia,Church of Greece,Ben Nighthorse Campbell,Pope Francis,Adrian Smith,Andrew Robathan,Communist Party of India,Amnesty International,Arne Duncan,Christian Estrosi,University of Ottawa,Catherine Ashton,Modibo Ke%C3%AFta,Louise Arbour,David Lidington,Longin Pastusiak,Josh Frydenberg,Joseph Muscat,Marine Le Pen,Pedro Carmona,Lesotho,Lamberto Dini
France Cukjati	France Cukjati,France,Harald Kujat,Irene Pivetti,French Navy,Arne Duncan,French Army,Francis Maude,Fine Gael,Vince Cable,Frank Jensen,Frank Swaelen,Fareed Zakaria,Grace Kelly,Jane Harman,Kiran Desai,Joseph Muscat,Neritan Ceka,Tanja Fajon,Mark Rutte,Eric Garcetti,Jaume Matas,Gianni Letta,Sanna Marin,Anke Fuchs,Jean Spautz,Dale Bumpers,David Libai,Nuon Chea,Yash Ghai,Jan Kohout,Mike Crapo,Franz Vranitzky,Piet Bukman,Vlad Filat,Denny Tamaki,Daniel Scioli,Michael Dukakis,Jean Charest,Brunei,Eliane Karp,Lawrence Cannon,Dan Burton,Brian Cowen,Dick Celeste,Joyce Quin,Juan Lozano,Nancy Pelosi,Bruce George,Eric Cantor
Hugo Swire	Hugo Swire,Hugo Banzer,Albio Sires,Al Gore,Hans Blix,Gwen Moore,Ken Starr,Mark Kirk,Holy See,Smile,Port Said,Bob Dole,Rudolf Seiters,Mark Rutte,Bruno Le Maire,Odilo Scherer,Bill Shorten,Paul Biya,Dick Spring,Hu Jintao,Gerd Leers,Ted Poe,Guido Carli,Paul Simon,South Sudan,Gary Locke,Paulo Maluf,Suriname,Hage Geingob,Sergio Diez,Idi Amin,Taro Kono,Tom Steyer,Helen Clark,Mart Laar,Bruce George,Hans Hillen,Luis Cruz,Dan Boren,Yury Chaika,Todd Akin,Pio Laghi,Katy Perry,Henk Kamp,Pedro Solbes,Angelo Scola,Rick Scott,Eliot Spitzer,Igor Klimov,Eli Suissa
