Dimitris Sioufas	Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Dmitry Livanov,Demetris Christofias,Mário Soares,Antonis Samaras,Giannis Ragousis,Javier Solana,Mümtaz Soysal,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,Hindi cinema,David Libai,François Loos,Éric Raoult,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Dieter Althaus,Tzipi Livni,Microsoft,Margaritis Schinas,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,Albio Sires,South Sudan,Marisa Matias,Doris Leuthard,François Zimeray,Siiri Oviir,Dmitry Mezentsev,François Goulard,Academia Sinica,Aamir Khan,Alastair Goodlad,United Russia,United Nations,Lithuania,Tajikistan,Dimitris Sioufas
Tamim bin Hamad Al Thani	Hamad bin Khalifa Al Thani,Turki bin Faisal Al Saud,Khalid bin Sultan Al Saud,Mohammad Hamid Ansari,Osama bin Laden,Taha Yassin Ramadan,Tarek William Saab,Muhiuddin Khan Alamgir,Liaquat Ali Khan,Abdus Samad Azad,Wangari Maathai,Jalaluddin Haqqani,Amitabh Bachchan,Salman Khan,William Cohen,Mohammad-Ali Rajai,Ayaan Hirsi Ali,Tim Holden,Taslima Nasrin,Aamir Khan,Mikheil Saakashvili,Amanullah Khan,Bibiana Aído,Tzipi Livni,Thierry Mariani,Jeff Bingaman,Hamid Karzai,Hassan Rouhani,Maria Elena Boschi,Nandan Nilekani,Alain Madelin,Luis Videgaray Caso,Christine Albanel,Tôn Đức Thắng,Sahabzada Yaqub Khan,Shulamit Aloni,Javier Solana,Alpha Kappa Alpha,Raffi Hovannisian,Muammar Gaddafi,Kristiina Ojuland,Valentin Yumashev,Christine Haderthauer,Tajikistan,J. Jayalalithaa,Robin Hayes,L. K. Advani,David Libai,Babacar Gaye,Tamim bin Hamad Al Thani
Karl-Theodor zu Guttenberg	Karel Schwarzenberg,Hans-Gert Pöttering,Arkady Rotenberg,Theodor Stolojan,Greta Thunberg,Wilhelm Molterer,Norbert Röttgen,Josh Frydenberg,Karel De Gucht,Carles Puigdemont,Karolos Papoulias,Joe Knollenberg,António Guterres,Earl Blumenauer,Peeter Kreitzberg,Carlos Menem,Melchior Wathelet,Paymaster General,Kōichirō Genba,Walter Momper,Walter Kasper,Laurenz Meyer,Franz Müntefering,Frank-Walter Steinmeier,Hans-Rudolf Merz,Manfred Kanther,Norbert Lammert,Tom Steyer,Alfonso Guerra,Mark Rutte,David Vitter,Dale Bumpers,Salvatore Cuffaro,Timothy J. Keating,María Jesús Montero,Frédéric Cuvillier,Mario Blejer,Catherine Ashton,Carlos Andrés Pérez,Carlos Santana,Tarcisio Bertone,Pascale Bruderer,Marine Le Pen,Carla Del Ponte,Marc-Philippe Daubresse,Arlene Foster,Alfredo Barnechea,Bill Shorten,Carlos Tevez,Karl-Theodor zu Guttenberg
Manuel Valls	Daniel Scioli,Jaume Matas,Miguel Arraes,Paulo Maluf,Ed Balls,Michael Fallon,Jacques Delors,Nancy Pelosi,Vince Cable,Rand Paul,Mary Fallin,Monika Harms,Fine Gael,Cape Verde,Mauritania,Javier Solana,Paul Otto,Ahmed Galal,Mário Soares,Marion Barry,Madeira,Hans Engell,Paul Reeves,Nigel Evans,Laurent Fabius,Senegal,Paul Martin,Fidel Castro,Paul Biya,Sanna Marin,Paul Ryan,Bill Gates,Angelo Scola,Marek Jurek,Marisa Matias,Hans Hillen,Marat Tajin,Mart Laar,Aosta Valley,Grace Kelly,Paul Simon,Moshe Arens,Mauritius,Tanja Fajon,Anke Fuchs,Emmanuel Macron,Marie Bashir,Samuel Schmid,Hans Blix,Manuel Valls
Henri Emmanuelli	Hans Engell,Henry McLeish,Denny Tamaki,Harri Holkeri,Helen Liddell,Don Manzullo,Hindi cinema,Connie Morella,Eliot Engel,Éric Raoult,Eric Garcetti,Bernd Lange,Hugo Banzer,Lord Chancellor,Uri Rosenthal,Jerry Moran,Georgi Bliznashki,Fredrik Reinfeldt,Mary Fallin,Leon Panetta,Terry Branstad,Jordi Turull,Jerry Weller,Per Unckel,Gerrit Zalm,Jack Markell,Henrik,Rand Paul,Norm Kelly,Fine Gael,Tzachi Hanegbi,Neritan Ceka,Henk Kamp,Meir Dagan,Satya Nadella,Alain Madelin,Daniel Scioli,Jean Spautz,Edi Rama,Guido Carli,Chris Huhne,Maurizio Lupi,Jean Charest,Pietro Lunardi,Renaud Dutreil,Hervé Morin,Manuel Valls,Hans Blix,René Teulade,Henri Emmanuelli
Oleg Ivanovich Lobov	Oleg Belaventsev,Ivan Safronov,Alexander Tikhonov,Ole von Beust,François Loos,Oleh Liashko,Alexander Lentsov,Alexander Dzasokhov,Oleg Ostapenko,David Libai,George Radanovich,Kenji Goto,Dan Tichon,George Voinovich,Giovanni Lajolo,Electronic Arts,Blagovest Sendov,Iliana Iotova,Lord Chancellor,Nikolai Levichev,Yury Luzhkov,Yevgeny Primakov,Petro Poroshenko,Alexander Stubb,Pavel Grachev,Ivan Rybkin,Allan Rock,Vladimir Yegorov,Arsen Avakov,Alu Alkhanov,Rob Nicholson,Igor Konashenkov,Alexei Mordashov,Valentin Pavlov,Olha Bohomolets,Jean Schmidt,Carolina Tohá,Taro Kono,Ivan Kyrylenko,Bogdan Klich,Kiro Gligorov,Bill Richardson,Spanish Army,Aslan Maskhadov,Spanish Navy,Robin Cook,Yves Cochet,Alexandr Vondra,Janez Stanovnik,Oleg Lobov
Arsen Avakov	Argentina,Ali Abbasov,Anson Chan,Rumen Radev,Pavel Astakhov,Arab League,Yury Luzhkov,Yevgeny Primakov,Ahmed Galal,Allan Rock,Alu Alkhanov,Nigel Evans,Joseph Stalin,Oleg Lobov,Ken Starr,Mike Crapo,Roman Herzog,Arne Duncan,Greg Abbott,Jørgen Kosmo,Arlene Foster,Amr Waked,Liese Prokop,Søren Gade,Amy Adams,Angela Merkel,Helen Clark,Ilse Aigner,Henrik,Josef Lux,African Union,Burkina Faso,Slovakia,Rein Lang,Saudi Arabia,José Bono,Boris Nemtsov,Rosen Plevneliev,Alfred Sant,Sergey Gaplikov,Josef Pröll,Adrian Smith,Robin Hayes,L. K. Advani,Dmitry Livanov,Andrew Card,Jean Spautz,Igor Klimov,Dan Burton,Arsen Avakov
Rick Boucher	Rick Scott,Rick Larsen,Tim Fischer,Lucien Bouchard,Eric Holder,Yves Cochet,Jochen Borchert,John Boehner,Heinz Fischer,Cory Booker,Jim Risch,Rick Santorum,Bill Ritter,Dick Celeste,Jim Doyle,Tim Holden,Dale Bumpers,Keizō Obuchi,Dick Marty,Gary Locke,Michel Mercier,Jack Lew,Michel Barnier,Kirk Fordice,Hugo Banzer,Bill Bradley,Mark Warner,Bill Young,Mark Rutte,Dick Spring,Dan Boren,Kit Bond,Piet Bukman,Anke Fuchs,Rosa Aguilar,Jim Molan,Chuck Robb,Mark Binskin,Yoani Sánchez,René Teulade,Marek Jurek,Marco Maciel,Mario Blejer,Jack Markell,Lars Barfoed,Lionel Bowen,Bob Dole,Ernie Fletcher,Éric Raoult,Rick Boucher
University of Ottawa	University of Chile,University of Sussex,University of Waterloo,University of Cape Town,University of New Brunswick,University of Buenos Aires,Secretary of state,Richard Ottaway,Berkshire Hathaway,Workers' Party of Korea,Uri Rosenthal,Thierry Mariani,Terry Branstad,Neritan Ceka,Takeshi Onaga,Umberto Bossi,Oliver Letwin,Republic of Artsakh,Gyanendra of Nepal,Roberta Pinotti,Gianni Letta,Valeriy Horbatov,Gerrit Braks,Gerrit Zalm,American University of Beirut,York University,University of the Philippines,United Nations,Church of Greece,United Russia,United Arab Emirates,Gabriel Oprea,Movement for France,Iberian Peninsula,Microsoft,Siiri Oviir,Moderate Party,Heizō Takenaka,Marisa Matias,Robert Mugabe,David Vitter,Doris Leuthard,Inner Mongolia,Kristiina Ojuland,Ernesto Samper,Wangari Maathai,Carlos Santana,Sadako Ogata,Yves Leterme,University of Ottawa
Jack Markell	Jack Lew,Mark Warner,Jack Layton,Jay Carney,Dick Marty,Marco Maciel,Rick Larsen,Mark Kirk,John Warner,Paul Martin,Hans Engell,Jane Harman,Tom Carper,Mark Rutte,Mark Dayton,John Dawkins,Mark Pryor,Dan Boren,Patrick Mayhew,Sally Jewell,Marek Jurek,Jay Weatherill,Jan Pronk,Gary Locke,Alain Madelin,Dick Spring,Josef Pröll,Per Unckel,Rand Paul,Marko Mihkelson,Lars Barfoed,Jean Charest,Jaume Matas,Jörg Haider,José Montilla,Don Manzullo,Sanna Marin,Lucy Turnbull,Amr Waked,Jordi Turull,Satya Nadella,Grace Kelly,Fine Gael,Tom Udall,John Linder,Jim Molan,Ben Cardin,Frank Jensen,John Brumby,Jack Markell
Pavel Tigrid	Peter Wittig,Pavel Grachev,David Libai,Paul Biya,Paul Martin,Paweł Kukiz,Paul Simon,Samuel Schmid,James Florio,Jürgen Ligi,Marek Jurek,David Vitter,Daniel Scioli,Dan Tichon,David Dinkins,Raúl Rivero,Yair Lapid,Paul Reeves,David Ige,Marat Tajin,Pavel Astakhov,Pio Laghi,Péter Erdő,Pascal Canfin,Daniel Toribio,Paul Ryan,Paul Otto,Paul Tsongas,Sanna Marin,Mark Kirk,Dave Weldon,Patty Murray,Reuven Rivlin,Ilse Aigner,Sajid Javid,Port Said,Madeira,Peter Hintze,Tommy Lapid,Péter Polt,Paulo Maluf,Henrik,Madrid,Gabriel Oprea,Marcelo Ebrard,Ratko Mladić,Ivan Rybkin,Lionel Jospin,Peter DeFazio,Pavel Tigrid
Javier Pérez de Cuéllar	Javier Diez Canseco,Javier Hernández,Javier González Garza,Javier Solana,Jerry Weller,Emilio Pérez Touriño,Pierre Werner,Alfredo Pérez Rubalcaba,David Dreier,José López Portillo,Carles Puigdemont,Salvatore Cuffaro,Josef Pröll,Jacqueline Cramer,Jay Rockefeller,Jack Markell,Karel De Gucht,Pier Ferdinando Casini,Jacques Chirac,Frédéric Cuvillier,Rosen Plevneliev,Jay Weatherill,Karolos Papoulias,Jacques Delors,David Ben-Gurion,Satya Nadella,Connie Morella,Hervé de Charette,Didier Burkhalter,Edelgard Bulmahn,United Russia,Cape Verde,Roberto Fernández Retamar,Luis Posada Carriles,José Montilla,Jorge Illueca,Lawrence Cannon,Jerry Moran,F. W. de Klerk,Soraya Sáenz de Santamaría,Giuseppe Bertello,Mario Barletta,Gabriel Oprea,Mario Blejer,Jerry Lewis,Jair Bolsonaro,Andrew Powell,Jim Prentice,Josep Piqué,Javier Pérez de Cuéllar
Gerda Hasselfeldt	Gerd Leers,Fredrik Reinfeldt,Jean Asselborn,Redha Malek,Jerry Weller,Satya Nadella,Ricardo Rosselló,Greg Walden,Dean Heller,Grace Kelly,Bernd Lange,Gerald Klug,Jörg Haider,Brian Mikkelsen,Harri Holkeri,Elena Salgado,Gun Hellsvik,Gerrit Zalm,Per Unckel,Lars Barfoed,Terry Branstad,Rebiya Kadeer,George Habash,Celso Lafer,Anders Samuelsen,Guido Carli,Gresham Barrett,Mario Barletta,Helen Liddell,Mary Fallin,Jordi Turull,Andrew Lansley,Carla Del Ponte,Ehud Olmert,Jack Markell,Géza Jeszenszky,Glenn Greenwald,Gérard Longuet,Éric Raoult,Amr Waked,Marco Maciel,Lord Chancellor,Ed Balls,Eric Holder,Chuck Grassley,Aosta Valley,George Osborne,Ian Paisley,Gerasimos Arsenis,Gerda Hasselfeldt
Jacques Delors	Jacques Chirac,Jacques Santer,James Florio,Nancy Pelosi,Jacques Cousteau,Manuel Valls,Javier Solana,Jean Asselborn,Jacqueline Cramer,Paul Reeves,Jack Lew,Jaume Matas,Grace Kelly,Jack Markell,Jon Tester,Narcís Serra,József Hámori,Dave Weldon,Julius Nyerere,Paul Otto,Cape Verde,Laurent Fabius,Raymond Kelly,François Loos,Michael Flynn,Peter Welch,Stephen Solarz,Marcus Stephen,Paulo Maluf,Jan Kohout,Daniel Scioli,Gwen Moore,Joachim Gauck,Richard Caborn,Marine Le Pen,Andrus Ansip,Gaston Flosse,Danny Pieters,Jerry Lewis,Bruce George,Hans Hillen,Jan Pronk,Laurenz Meyer,Michael Fallon,Noel Davern,Harrison Ford,Paul Simon,Dale Bumpers,Yves Leterme,Jacques Delors
Jay Rockefeller	Gary Locke,Jay Weatherill,Jack Markell,Jerry Weller,Dean Heller,Raymond Kelly,Patrick Hillery,Patrick Ollier,Jay Carney,Jack Lew,Paul Reeves,Mario Blejer,Jim Doyle,Jon Tester,Sally Jewell,Cory Booker,John Boehner,Arnold Koller,Per Unckel,Leszek Miller,John Hickenlooper,John R. Allen,Mary McAleese,Eric Holder,Jack Layton,Mark Warner,Rick Larsen,John Warner,John Linder,Jim Prentice,Lamar Alexander,Tim Holden,Allan Rock,Joe Crowley,Norm Kelly,Bob Dole,Tom Steyer,Josef Lux,Edwin Feulner,Raymond Barre,Rick Boucher,Ian Paisley,Joe Lieberman,Jan Pronk,Hans Hillen,Jean Asselborn,Dan Boren,Grace Kelly,Joseph Prueher,Jay Rockefeller
Fulvio Rossi	Agustín Rossi,Umberto Bossi,Pio Laghi,Guido Carli,Ignazio Cassis,Albio Sires,Solomon Passy,Jim Risch,David Libai,Ludwik Dorn,Eli Suissa,Els Borst,Kevin Rudd,Avijit Roy,Julie Bishop,Allan Rock,Puerto Rico,Maurizio Lupi,Renato Soru,Celso Lafer,Antonio Inoki,Sergio Diez,Paulo Maluf,Jim Molan,Hervé Morin,Edi Rama,Luis Cruz,Gaston Flosse,François Loos,Toivo Asmer,Kenji Goto,United Russia,David Ige,Alice Rivlin,Ivan Rybkin,Jim Doyle,Yuriy Ilyin,Alain Berset,Rodrigo Rato,Lionel Jospin,Al Gore,Eli Lilly,Dipu Moni,Gavin Newsom,Éric Besson,Reuven Rivlin,Marie Bashir,Kevin Brady,Taro Kono,Fulvio Rossi
Sovereign Military Hospitaller Order of Saint John of Jerusalem of Rhodes and of Malta	Secretary of State for International Development,Secretary of State for Levelling Up, Housing and Communities,Pontifical Catholic University of Rio de Janeiro,Party of Communists of the Republic of Moldova,Communist Party of Bohemia and Moravia,David Richards, Baron Richards of Herstmonceux,Communist Party of the Russian Federation,Secretary of State for Justice (UK),Syrian Social Nationalist Party,Lord President of the Council,United Socialist Party of Venezuela,Socialists' Party of Catalonia,Pontifical Catholic University of Chile,Memorial University of Newfoundland,Central American Bank for Economic Integration,University of Los Andes (Colombia),Shanghai Cooperation Organisation,United Nations–African Union Mission in Darfur,Brazilian Social Democracy Party,Liberal Democratic Party of Russia,Saint Vincent and the Grenadines,Alliance for the Future of Austria,John Miller (Washington politician),Soraya Sáenz de Santamaría,Central European University,Provisional Irish Republican Army,Toronto Metropolitan University,Liberal Democracy of Slovenia,Director of National Intelligence,Complutense University of Madrid,United States Virgin Islands,American University of Beirut,University of Waterloo,Party of the Democratic Revolution,Order of the Holy Sepulchre,Massachusetts Institute of Technology,Gonzalo Sánchez de Lozada,Constitutional Court of Spain,Security Service of Ukraine,Austrian Academy of Sciences,International Criminal Court,Bucharest Academy of Economic Studies,The People of Freedom,University of the Philippines,Yerevan State University,National Party of Australia,New York City Police Department,Roberto Fernández Retamar,Radical Party of the Left,Sovereign Military Order of Malta
Christian Estrosi	Christine Egerszegi,Christine Albanel,Christina Romer,Marisa Matias,Adrian Năstase,Sebastian Kurz,Christoph Blocher,Chris Murphy,Chris Huhne,Neritan Ceka,Eric Cantor,Kristiina Ojuland,Agustín Rossi,Martin Bursík,Chet Edwards,Corina Casanova,Cristina Garmendia,Kristina Schröder,Joseph Estrada,Canadian Army,Eric Garcetti,Bibiana Aído,Iliana Iotova,Tarcisio Bertone,Eiki Nestor,Anna Eshoo,Gaston Flosse,Arsen Avakov,African Union,Valentin Inzko,Curtis Scaparrotti,Jan Pronk,Jean Charest,Carolina Tohá,Karim Massimov,Chris Grayling,Chantal Jouanno,Tigran Torosyan,Akhmedjan Essimov,Hassan Rouhani,Srgjan Kerim,Monika Harms,Dobrica Ćosić,Valentin Pavlov,Carlos Santana,Gresham Barrett,Lisa Murkowski,Adrian Smith,Justin Trudeau,Christian Estrosi
Victor Ponta	Victor Ciorbea,Péter Polt,Gábor Vona,Peter Hintze,Microsoft,Kit Bond,Viktor Pynzenyk,Lithuania,Estonia,Vietnam,Le Point,Leon Panetta,Dick Marty,Catalonia,Javier Solana,Rick Scott,Omar Bongo,Napoleon,Gianni Letta,Taro Kono,South Korea,Viktor Stepanov,Dipu Moni,Michal Kováč,Kōichirō Genba,Finns Party,Romania,Mauritania,José Bono,Alfred Sant,Richard Danzig,Hindi cinema,Lionel Bowen,Vittorio Grilli,Sardinia,Libération,Ernest Moniz,Péter Erdő,Dick Celeste,Michael Kocáb,Vincenzo Scotti,Peter Welch,V. P. Singh,Árpád Göncz,Ted Poe,Dick Spring,Walter Momper,Ninja,Carlos Santana,Victor Ponta
Khaleda Zia	Khakassia,Theresa May,Bulgaria,Slovakia,Sardinia,Kadima,Cantabria,Chuvashia,Mauritania,Madrid,Romania,Lithuania,Ahmed Galal,Kate Brown,Salman Khan,Latvia,Madeira,Yahya Khan,David Libai,Wales,Violeta Bulc,David Ige,Ted Poe,Paul Biya,Paul Martin,Vlad Filat,Catalonia,Buryatia,Charles Pasqua,Amartya Sen,Telefónica,Masahide Ōta,Lech Wałęsa,Palau,Chechnya,United Russia,Guyana,Saudi Arabia,Fianna Fáil,Holy See,The Bahamas,Russia,Argentina,Cape Verde,Iceland,Spain,Taiwan,Port Said,Estonia,Khaleda Zia
Wales	Palau,Nauru,Spain,Gabon,Madrid,Tatars,Greece,Israel,Smile,Shas,Iran,Taiwan,Fidesz,Napoleon,IBM,Madeira,France,Latvia,Benin,Guam,Nokia,Nokia,Audi,Iceland,Libya,Meretz,ÖBB,Google,Ed Balls,Airbus,Brunei,Fiji,Belgium,Sony,Cisco,Dagestan,Ninja,Ukraine,Guyana,Sufism,Åland,Romania,Tuva,Lazard,Russia,Pakistan,HSBC,Kadima,Holy See,Wales
Simonetta Sommaruga	Violeta Bulc,Ernesto Samper,Stephen Solarz,South Korea,Norbert Lammert,Donna Shalala,Renato Soru,Javier Solana,Antonis Samaras,Simon Coveney,Leonid Kozhara,Sanna Marin,Pietro Lunardi,Santiago Creel,Anna Fotyga,Monika Harms,Susana Malcorra,Lionel Bowen,Scott Garrett,Dieter Althaus,Liudmyla Suprun,Greta Garbo,Mário Soares,South Sudan,Leonid Gozman,Michael Bloomberg,Riitta Uosukainen,Mümtaz Soysal,Betty Boothroyd,Eni Faleomavaega,Samuel Schmid,Central America,Michael Howard,Joseph Stalin,Lionel Jospin,Piet Bukman,Roberta Pinotti,Anne Hidalgo,Vietnam,Elena Salgado,Port Said,Corina Casanova,Jean Spautz,Christina Romer,Arlene Foster,Theresa May,Dawn Primarolo,Eliane Karp,Satya Nadella,Simonetta Sommaruga
Church of Greece	Council of Europe,Chuck Grassley,Bank of America,Greece,South Korea,Kirk Fordice,Santiago Creel,Bruce George,Chris Huhne,Charlie Baker,Al Green,Jeune Afrique,Chris Murphy,Mitch Landrieu,Claudio Huepe,Chuck Robb,Kōichirō Genba,Yehudah Glick,Mary McAleese,Carlos Menem,Carlos Tevez,French Army,Puerto Rico,Sierra Leone,Central America,Marek Jurek,Bob Graham,Nuon Chea,Lauch Faircloth,Scott Garrett,Rick Larsen,Paul Reeves,Christina Romer,Joachim Gauck,Marcus Stephen,Dick Celeste,Connie Morella,Jack Markell,Mircea Geoană,Sergio Diez,Babacar Gaye,Cory Booker,Chet Edwards,Mark Warner,Chechnya,Celso Lafer,Carla Del Ponte,Moshe Arens,Duncan Kerr,Church of Greece
Gonzalo Sanchez de Lozada	Yoani Sánchez,Gonzalo Aguirre Ramírez,Javier Pérez de Cuéllar,Bosnia and Herzegovina,Soraya Sáenz de Santamaría,Johann Schneider-Ammann,Angelo Scola,José Manuel Barroso,Odilo Scherer,Gilles de Robien,Eberhard van der Laan,Abdus Samad Azad,Donna Shalala,Gerda Hasselfeldt,Guillermo Fernández de Soto,Roberto Fernández Retamar,Juan Lozano,Ginés González García,Carlos Santana,Loyola de Palacio,Roland Koch,Javier Solana,Eduardo Brizuela del Moral,Don Manzullo,Wolfgang Gerhardt,H. D. Deve Gowda,Alfredo Pérez Rubalcaba,César Camacho Quiroz,Bob Menendez,Hans van den Broek,Abdullah II of Jordan,Roman Herzog,Connie Hedegaard,Masahide Ōta,Alexander Dzasokhov,Leonid Kozhara,Alexandr Vondra,Huda Salih Mahdi Ammash,Géza Jeszenszky,Arnold Schwarzenegger,Nancy Pelosi,Anwar Sadat,Canadian Armed Forces,Mobutu Sese Seko,Lord Chancellor,Nadiya Savchenko,Holy See,Ernesto Samper,Hugo Banzer,Gonzalo Sánchez de Lozada
Hartmut Bagger	Walter Kasper,Hugo Banzer,Mart Laar,Borut Pahor,Marie Bashir,Mark Warner,Mario Blejer,Charlie Baker,Walter Momper,Bram Peper,Norbert Hofer,Martin Bursík,Lars Barfoed,Herbert Bösch,Jörg Haider,Bernd Lange,Barbara Prammer,Marco Maciel,Marat Tajin,Ernesto Samper,Jacques Santer,Tom Carper,Raymond Barre,Marion Barry,Harri Holkeri,Hamid Karzai,Cory Booker,Stavanger,Candice Bergen,Norbert Lammert,Herbert Kickl,Erwin Huber,Arnold Koller,Harald Kujat,Gabi Zimmer,Norbert Blüm,Laurenz Meyer,Babacar Gaye,Tom Steyer,Werner Hoyer,Manfred Kanther,Hans Engell,Marek Jurek,Hans Hillen,David Ige,Mark Rutte,Hans Blix,Michel Barnier,Hanno Pevkur,Hartmut Bagger
Sergey Menyaylo	Sergey Aksyonov,Sergey Gaplikov,Serhiy Tihipko,Peter DeFazio,George Weah,Sherry Rehman,Jerry Moran,Serhiy Arbuzov,Mircea Geoană,Steven Mnuchin,George Habash,Jørgen Kosmo,Sergio Diez,Werner Hoyer,Carlos Menem,Beppe Grillo,Søren Gade,Turgut Özal,Per Unckel,Martha McSally,Arne Duncan,Jerry Weller,Werner Faymann,Barney Frank,Don Manzullo,Senegal,Sally Jewell,Bobby Jindal,Patty Murray,Gerrit Zalm,Jerry Lewis,Lee Teng-hui,Yevgeny Primakov,Yuriy Ilyin,Alexei Mordashov,Yevhen Marchuk,Yury Chaika,Argentina,Angela Merkel,Theresa May,Arsen Avakov,Stephen Solarz,George Voinovich,Yevgeny Shevchuk,Leszek Miller,Ahmed Galal,Peter Welch,Pete Peterson,Ernest Moniz,Sergey Menyaylo
Chatichai Choonhavan	Mahathir Mohamad,Matti Vanhanen,Thad Cochran,Mathias Cormann,Pascal Couchepin,Corina Casanova,Chiang Ching-kuo,Chantal Jouanno,Tatyana Golikova,Takeshi Onaga,Giancarlo Galan,Richard Caborn,Michal Kováč,William Cohen,Pascal Canfin,Patricia Scotland,Pat Buchanan,Catalonia,Shintaro Ishihara,Kōichirō Genba,Amitabh Bachchan,Leonid Kozhara,Makiko Tanaka,Tzachi Hanegbi,Hassan Rouhani,Yitzhak Mordechai,Iliana Iotova,Mel Carnahan,Charlie Melançon,Liaquat Ali Khan,Tigran Torosyan,Richard Ottaway,Steve Rothman,Brian Cowen,Victor Ciorbea,Michel Suleiman,Alastair Goodlad,Chechnya,Aamir Khan,Vladimir Voronin,Irina Yarovaya,Vladimir Kozhin,Richard Dannatt,Victor Ponta,Michael Bloomberg,Yahya Khan,Amanullah Khan,Michael Flynn,Richard Branson,Chatichai Choonhavan
Marietta Giannakou	Makiko Tanaka,Marisa Matias,Matti Vanhanen,Greta Garbo,Marie Bashir,Martha McSally,Mircea Geoană,Mary Landrieu,Mitch Landrieu,Lawrence Cannon,Murat Zyazikov,Mart Laar,Mark Binskin,Barney Frank,Sergey Gaplikov,Yukiya Amano,Corina Casanova,Roberta Pinotti,Mauritania,Davit Bakradze,Mary Fallin,Greta Thunberg,Melissa Bean,Kristina Keneally,Adrienne Clarkson,Marilyn Musgrave,Karim Massimov,Elena Salgado,Marine Le Pen,Monica Lewinsky,Pietro Lunardi,Uzi Landau,Mel Carnahan,Martin McGuinness,Marko Mihkelson,Marek Jurek,Oleh Liashko,Marat Tajin,Mario Barletta,Fareed Zakaria,Marion Barry,Lamberto Dini,Arsen Avakov,Saken Zhasuzakov,Petar Gračanin,Marcelo Ebrard,Barbara Mikulski,Pieter Winsemius,Hage Geingob,Marietta Giannakou
C. W. Bill Young	F. W. de Klerk,V. P. Singh,H. D. Deve Gowda,R. P. Singh,Don Young,L. K. Advani,EH Bildu,Bill Gates,C. Boyden Gray,Hans Hillen,Poul Nielson,H. R. McMaster,Carla Del Ponte,R. Nicholas Burns,John R. Allen,Rein Lang,Ed Balls,William Cohen,Bill Ritter,Mark Binskin,Kit Bond,Dan Tichon,Éric Besson,José Bono,Mike Simpson,Dan Burton,Kate Brown,Bill Shorten,Jerry Brown,Cory Booker,Karen Ellemann,Susan Collins,Eli Lilly,Paul Simon,Carolina Tohá,Dipu Moni,Vijay Bahuguna,Omar Bongo,Beppe Grillo,Chris Grayling,Jeff Bingaman,Tôn Đức Thắng,Willy Claes,Julie Bishop,Jim Bunning,Mary Fallin,Gerald Klug,Fleur Pellerin,Joel Villanueva,Bill Young
Lord President of the Council	Movement for France,University of Cape Town,José Vicente Rangel,The People of Freedom,Radical Party of the Left,University of New Brunswick,University of Chile,Moshoeshoe II of Lesotho,University of the Philippines,University of Waterloo,Lawrence Cannon,Pete Peterson,Uri Rosenthal,University of Sussex,Union of Right Forces,Gyanendra of Nepal,Workers' Party of Korea,Ernest Moniz,Israel Defense Forces,Lodewijk Asscher,Norodom Sihamoni,University of Buenos Aires,Tarcisio Bertone,Piet Hein Donner,Lord Chancellor,Anastasios Peponis,Commonwealth of Nations,Bank of America,Order of the Holy Sepulchre,Radio Television of Serbia,Church of Greece,Ben Nighthorse Campbell,Pope Francis,Adrian Smith,Andrew Robathan,Communist Party of India,Amnesty International,Arne Duncan,Christian Estrosi,University of Ottawa,Catherine Ashton,Louise Arbour,David Lidington,Norbert Röttgen,Adán Martín Menis,Josh Frydenberg,Longin Pastusiak,Joseph Muscat,Marine Le Pen,Lord President of the Council
France Cukjati	France,Harald Kujat,Irene Pivetti,French Navy,Arne Duncan,French Army,Francis Maude,Fine Gael,Vince Cable,Frank Jensen,Frank Swaelen,Fareed Zakaria,Jane Harman,Grace Kelly,Kiran Desai,Joseph Muscat,Neritan Ceka,Tanja Fajon,François Patriat,Mark Rutte,Eric Garcetti,Milan Kučan,Éric Raoult,Jaume Matas,Gianni Letta,François Goulard,Sanna Marin,Dale Bumpers,Anke Fuchs,Jean Spautz,David Libai,Jan Kohout,François Loos,Nuon Chea,Yash Ghai,Mike Crapo,Franz Vranitzky,Piet Bukman,Vlad Filat,Denny Tamaki,Daniel Scioli,Paweł Kukiz,Bojan Pajtić,Fianna Fáil,Michael Dukakis,Jean Charest,Eliane Karp,Brunei,Dan Burton,France Cukjati
Hugo Swire	Hugo Banzer,Albio Sires,Al Gore,Hans Blix,Gwen Moore,Ken Starr,Mark Kirk,Holy See,Smile,Port Said,Bob Dole,Rudolf Seiters,Mark Rutte,Bruno Le Maire,Odilo Scherer,Renato Soru,Bill Shorten,Paul Biya,Jörg Haider,Hu Jintao,Gerd Leers,Dick Spring,Ted Poe,Guido Carli,Paul Simon,Suriname,Gary Locke,South Sudan,Paulo Maluf,Hage Geingob,Sergio Diez,Idi Amin,Taro Kono,Tom Steyer,Helen Clark,Mart Laar,Bruce George,Hans Hillen,Luis Cruz,Yury Chaika,Dan Boren,Todd Akin,Pio Laghi,Katy Perry,Henk Kamp,Pedro Solbes,Angelo Scola,Rick Scott,Eliot Spitzer,Hugo Swire
